,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,candidate,secured,majority,secure,candidate majority,71
1,candidate,secured,majority,secure,candidate majority,71
2,candidate,secured,majority,secure,candidate majority,71
3,candidate,secured,majority,secure,candidate majority,71
4,candidate,secured,majority,secure,candidate majority,71
5,candidate,secured,majority,secure,candidate majority,71
6,candidate,secured,majority,secure,candidate majority,71
7,candidate,secured,majority,secure,candidate majority,71
8,candidate,secured,majority,secure,candidate majority,71
9,candidate,secured,majority,secure,candidate majority,71
10,candidate,secured,majority,secure,candidate majority,71
11,candidate,secured,majority,secure,candidate majority,71
12,candidate,secured,majority,secure,candidate majority,71
13,candidate,secured,majority,secure,candidate majority,71
14,candidate,secured,majority,secure,candidate majority,71
15,candidate,secures,majority,secure,candidate majority,71
16,candidate,secured,majority,secure,candidate majority,71
17,candidate,secured,majority,secure,candidate majority,71
18,candidate,secures,majority,secure,candidate majority,71
19,candidate,secured,majority,secure,candidate majority,71
20,candidate,secured,majority,secure,candidate majority,71
21,candidate,secured,majority,secure,candidate majority,71
22,candidate,secures,majority,secure,candidate majority,71
23,candidate,secures,majority,secure,candidate majority,71
24,candidate,secures,majority,secure,candidate majority,71
25,candidate,secures,majority,secure,candidate majority,71
26,candidate,secured,majority,secure,candidate majority,71
27,candidate,secured,majority,secure,candidate majority,71
28,candidate,secures,majority,secure,candidate majority,71
29,candidate,secures,majority,secure,candidate majority,71
30,candidate,secured,majority,secure,candidate majority,71
31,candidate,secured,majority,secure,candidate majority,71
32,candidate,secured,majority,secure,candidate majority,71
33,candidate,secures,majority,secure,candidate majority,71
34,candidate,secured,majority,secure,candidate majority,71
35,candidate,secured,majority,secure,candidate majority,71
36,candidate,secured,majority,secure,candidate majority,71
37,candidate,secured,majority,secure,candidate majority,71
38,candidate,secured,majority,secure,candidate majority,71
39,candidate,secured,majority,secure,candidate majority,71
40,candidate,secures,majority,secure,candidate majority,71
41,candidate,secured,majority,secure,candidate majority,71
42,candidate,secured,majority,secure,candidate majority,71
43,candidate,secured,majority,secure,candidate majority,71
44,candidate,secured,majority,secure,candidate majority,71
45,candidate,secured,majority,secure,candidate majority,71
46,candidate,secured,majority,secure,candidate majority,71
47,candidate,secured,majority,secure,candidate majority,71
48,candidate,secured,majority,secure,candidate majority,71
49,candidate,secured,majority,secure,candidate majority,71
50,candidate,secured,majority,secure,candidate majority,71
51,candidate,secured,majority,secure,candidate majority,71
52,candidate,secured,majority,secure,candidate majority,71
53,candidate,secured,majority,secure,candidate majority,71
54,candidate,secures,majority,secure,candidate majority,71
55,candidate,secured,majority,secure,candidate majority,71
56,candidate,secured,majority,secure,candidate majority,71
57,candidate,secured,majority,secure,candidate majority,71
58,candidate,secured,majority,secure,candidate majority,71
59,candidate,secured,majority,secure,candidate majority,71
60,candidate,secured,majority,secure,candidate majority,71
