,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,men,shook,hands,shake,men hands,51
1,men,shake,hands,shake,men hands,51
2,men,shook,hands,shake,men hands,51
3,men,shake,hands,shake,men hands,51
4,men,shook,hands,shake,men hands,51
5,men,shook,hands,shake,men hands,51
6,men,shook,hands,shake,men hands,51
7,men,shake,hands,shake,men hands,51
8,men,shook,hands,shake,men hands,51
9,men,shook,hands,shake,men hands,51
10,men,shake,hands,shake,men hands,51
11,men,shook,hands,shake,men hands,51
12,men,shook,hands,shake,men hands,51
13,men,shake,hands,shake,men hands,51
14,men,shook,hands,shake,men hands,51
15,men,shook,hands,shake,men hands,51
16,men,shook,hands,shake,men hands,51
17,men,shook,hands,shake,men hands,51
18,men,shook,hands,shake,men hands,51
19,men,shook,hands,shake,men hands,51
20,men,shaking,hands,shake,men hands,51
21,men,shake,hands,shake,men hands,51
22,men,shake,hands,shake,men hands,51
23,men,shook,hands,shake,men hands,51
24,men,shook,hands,shake,men hands,51
25,men,shook,hands,shake,men hands,51
26,men,shook,hands,shake,men hands,51
27,men,shook,hands,shake,men hands,51
28,men,shaking,hands,shake,men hands,51
29,men,shook,hands,shake,men hands,51
30,men,shook,hands,shake,men hands,51
31,men,shook,hands,shake,men hands,51
32,men,shook,hands,shake,men hands,51
33,men,shook,hands,shake,men hands,51
34,men,shook,hands,shake,men hands,51
35,men,shaking,hands,shake,men hands,51
36,men,shook,hands,shake,men hands,51
37,men,shook,hands,shake,men hands,51
38,men,shake,hands,shake,men hands,51
39,men,shake,hands,shake,men hands,51
40,men,shook,hands,shake,men hands,51
41,men,shake,hands,shake,men hands,51
42,men,shook,hands,shake,men hands,51
43,men,shook,hands,shake,men hands,51
44,men,shook,hands,shake,men hands,51
45,men,shook,hands,shake,men hands,51
46,men,shaking,hands,shake,men hands,51
47,men,shaking,hands,shake,men hands,51
48,men,shook,hands,shake,men hands,51
49,men,shook,hands,shake,men hands,51
50,men,shook,hands,shake,men hands,51
51,two,shook,hands,shake,two hands,49
52,two,shook,hands,shake,two hands,49
53,two,shook,hands,shake,two hands,49
54,two,shook,hands,shake,two hands,49
55,two,shook,hands,shake,two hands,49
56,two,shook,hands,shake,two hands,49
57,two,shook,hands,shake,two hands,49
58,two,shook,hands,shake,two hands,49
59,two,shook,hands,shake,two hands,49
60,two,shook,hands,shake,two hands,49
61,two,shook,hands,shake,two hands,49
62,two,shook,hands,shake,two hands,49
63,two,shook,hands,shake,two hands,49
64,two,shook,hands,shake,two hands,49
65,two,shake,hands,shake,two hands,49
66,two,shook,hands,shake,two hands,49
67,two,shook,hands,shake,two hands,49
68,two,shook,hands,shake,two hands,49
69,two,shook,hands,shake,two hands,49
70,two,shook,hands,shake,two hands,49
71,two,shook,hands,shake,two hands,49
72,two,shake,hands,shake,two hands,49
73,two,shake,hands,shake,two hands,49
74,two,shaking,hands,shake,two hands,49
75,two,shook,hands,shake,two hands,49
76,two,shook,hands,shake,two hands,49
77,two,shook,hands,shake,two hands,49
78,two,shook,hands,shake,two hands,49
79,two,shook,hands,shake,two hands,49
80,two,shook,hands,shake,two hands,49
81,two,shook,hands,shake,two hands,49
82,two,shook,hands,shake,two hands,49
83,two,shook,hands,shake,two hands,49
84,two,shook,hands,shake,two hands,49
85,two,shook,hands,shake,two hands,49
86,two,shook,hands,shake,two hands,49
87,two,shook,hands,shake,two hands,49
88,two,shook,hands,shake,two hands,49
89,two,shook,hands,shake,two hands,49
90,two,shake,hands,shake,two hands,49
91,two,shook,hands,shake,two hands,49
92,two,shook,hands,shake,two hands,49
93,two,shook,hands,shake,two hands,49
94,two,shook,hands,shake,two hands,49
95,two,shook,hands,shake,two hands,49
96,two,shook,hands,shake,two hands,49
97,two,shook,hands,shake,two hands,49
98,two,shook,hands,shake,two hands,49
99,two,shook,hands,shake,two hands,49
100,teams,shook,hands,shake,teams hands,15
101,teams,shook,hands,shake,teams hands,15
102,teams,shook,hands,shake,teams hands,15
103,teams,shook,hands,shake,teams hands,15
104,teams,shook,hands,shake,teams hands,15
105,teams,shook,hands,shake,teams hands,15
106,teams,shook,hands,shake,teams hands,15
107,teams,shook,hands,shake,teams hands,15
108,teams,shake,hands,shake,teams hands,15
109,teams,shook,hands,shake,teams hands,15
110,teams,shook,hands,shake,teams hands,15
111,teams,shook,hands,shake,teams hands,15
112,teams,shook,hands,shake,teams hands,15
113,teams,shook,hands,shake,teams hands,15
114,teams,shook,hands,shake,teams hands,15
115,earthquake,shook,area,shake,earthquake area,11
116,earthquake,shook,city,shake,earthquake city,11
117,earthquake,shook,city,shake,earthquake city,11
118,earthquake,shakes,area,shake,earthquake area,11
119,earthquake,shook,city,shake,earthquake city,11
120,earthquake,shook,city,shake,earthquake city,11
121,earthquake,shook,city,shake,earthquake city,11
122,earthquake,shook,area,shake,earthquake area,11
