,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,brokers,shop,risks,shop,brokers risks,1
1,manager,shopped,song,shop,manager song,1
2,customers,shop,most,shop,customers most,1
3,band,shopped,demo,shop,band demo,1
4,agent,shopped,novel,shop,agent novel,1
5,residents,shop,services,shop,residents services,1
6,people,shop,fashion,shop,people fashion,1
7,boss,shopped,design,shop,boss design,1
8,band,shopped,demos,shop,band demos,1
9,women,shopped,saris,shop,women saris,1
10,shops,shops,doors,shop,shops doors,1
11,owner,shop,favors,shop,owner favors,1
12,band,shopped,album,shop,band album,1
13,activists,shop,windows,shop,activists windows,1
14,grocery,shopping,evening,shop,grocery evening,1
15,manager,shopped,tapes,shop,manager tapes,1
16,producers,shopped,film,shop,producers film,1
17,users,shop,videos,shop,users videos,1
18,majority,shop,window,shop,majority window,1
19,comparison,shopping,items,shop,comparison items,1
20,carpenters,shop,facilities,shop,carpenters facilities,1
21,residents,shop,business,shop,residents business,1
22,hosts,shopping,events,shop,hosts events,1
23,people,shopped,place,shop,people place,1
24,subjects,shop,courses,shop,subjects courses,1
25,group,shopped,version,shop,group version,1
26,results,shop,lenders,shop,results lenders,1
27,houses,shop,space,shop,houses space,1
28,two,shopping,complex,shop,two complex,1
29,trio,shopped,demos,shop,trio demos,1
30,work,shopped,staff,shop,work staff,1
31,brand,shops,opening,shop,brand opening,1
32,people,shopped,needs,shop,people needs,1
33,construction,shopping,complex,shop,construction complex,1
34,girls,shopping,people,shop,girls people,1
35,town,shopping,churches,shop,town churches,1
36,band,shopped,record,shop,band record,1
37,agent,shopped,draft,shop,agent draft,1
