,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,scarves,shoved,barber,shove,scarves barber,3
1,scarves,shoved,barber,shove,scarves barber,3
2,scarves,shoved,barber,shove,scarves barber,3
3,troops,shoved,people,shove,troops people,2
4,troops,shoved,people,shove,troops people,2
5,person,shoves,person,shove,person person,1
6,chipmunks,shove,match,shove,chipmunks match,1
7,agents,shoved,members,shove,agents members,1
8,student,shoves,caricature,shove,student caricature,1
9,cops,shoved,lad,shove,cops lad,1
10,cuckoo,shoving,officer,shove,cuckoo officer,1
11,killer,shoves,head,shove,killer head,1
12,scenes,shoving,head,shove,scenes head,1
13,survivors,shove,teenager,shove,survivors teenager,1
14,player,shoved,linesman,shove,player linesman,1
15,manager,shoved,defender,shove,manager defender,1
16,gunmen,shoved,bishop,shove,gunmen bishop,1
17,couple,shove,dog,shove,couple dog,1
18,gang,shoved,gold,shove,gang gold,1
19,cattleprod,shoved,ass,shove,cattleprod ass,1
20,men,shoved,iron,shove,men iron,1
21,group,shoved,egg,shove,group egg,1
22,men,shoved,two,shove,men two,1
23,man,shoved,hangman,shove,man hangman,1
24,gas,shoved,compressors,shove,gas compressors,1
25,impact,shoves,vehicle,shove,impact vehicle,1
26,crisis,shoved,concerns,shove,crisis concerns,1
27,protesters,shoved,batons,shove,protesters batons,1
28,tank,shoved,trucks,shove,tank trucks,1
29,creature,shoves,tree,shove,creature tree,1
30,head,shoved,supervisor,shove,head supervisor,1
31,protester,shoved,father,shove,protester father,1
32,transcends,shove,gigs,shove,transcends gigs,1
33,soldier,shoves,group,shove,soldier group,1
34,force,shoved,quartermaster,shove,force quartermaster,1
35,man,shoves,man,shove,man man,1
36,dealer,shoves,cards,shove,dealer cards,1
37,group,shove,vehicle,shove,group vehicle,1
38,subject,shoved,girlfriend,shove,subject girlfriend,1
39,player,shoved,hit,shove,player hit,1
40,son,shoved,father,shove,son father,1
41,troops,shoved,vehicles,shove,troops vehicles,1
42,man,shoves,creature,shove,man creature,1
43,group,shoved,documents,shove,group documents,1
44,advertising,shoved,throats,shove,advertising throats,1
45,bandits,shove,money,shove,bandits money,1
46,husband,shoved,wife,shove,husband wife,1
47,warriors,shoves,dagger,shove,warriors dagger,1
48,woman,shoved,mouse,shove,woman mouse,1
49,officer,shoved,person,shove,officer person,1
50,people,shoved,crown,shove,people crown,1
51,player,shoves,official,shove,player official,1
52,men,shoved,barber,shove,men barber,1
53,killer,shoves,bookcase,shove,killer bookcase,1
54,ball,shoved,ball,shove,ball ball,1
55,women,shove,tube,shove,women tube,1
56,shockwave,shove,core,shove,shockwave core,1
57,perpetrator,shoved,testicles,shove,perpetrator testicles,1
58,one,shoved,bar,shove,one bar,1
59,forces,shoved,assemblage,shove,forces assemblage,1
60,mass,shoved,way,shove,mass way,1
61,officer,shoved,wife,shove,officer wife,1
62,personality,shoves,rest,shove,personality rest,1
63,crewmen,shoved,plane,shove,crewmen plane,1
64,band,shoves,copy,shove,band copy,1
65,guard,shoved,prisoners,shove,guard prisoners,1
66,policed,shoved,editor,shove,policed editor,1
67,police,shoved,baton,shove,police baton,1
68,glaciers,shoved,topsoil,shove,glaciers topsoil,1
69,hunter,shoves,head,shove,hunter head,1
70,ronin,shoves,sword,shove,ronin sword,1
71,whale,shoves,iceberg,shove,whale iceberg,1
72,directors,shove,art,shove,directors art,1
73,roommate,shoved,dog,shove,roommate dog,1
74,inquisition,shoves,funnel,shove,inquisition funnel,1
75,penis,shoved,rectum,shove,penis rectum,1
76,officer,shoved,shell,shove,officer shell,1
77,teammate,shoves,survivor,shove,teammate survivor,1
78,press,shove,throat,shove,press throat,1
79,violence,shoved,head,shove,violence head,1
80,media,shoved,notes,shove,media notes,1
81,pirate,shoves,sword,shove,pirate sword,1
82,time,shoved,passerby,shove,time passerby,1
83,evil,shove,father,shove,evil father,1
84,pack,shoved,way,shove,pack way,1
85,man,shove,knife,shove,man knife,1
86,worker,shoves,robot,shove,worker robot,1
87,mother,shoves,face,shove,mother face,1
88,protester,shoved,placard,shove,protester placard,1
89,user,shove,weapon,shove,user weapon,1
90,man,shoved,rag,shove,man rag,1
91,dandy,shoves,snow,shove,dandy snow,1
92,brother,shoved,face,shove,brother face,1
93,killer,shoving,body,shove,killer body,1
