,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fragments,showered,town,shower,fragments town,2
1,planes,showered,guerrillas,shower,planes guerrillas,2
2,friends,showered,attentions,shower,friends attentions,2
3,fire,showered,debris,shower,fire debris,2
4,fusilade,showered,flanks,shower,fusilade flanks,2
5,fusilade,showered,flanks,shower,fusilade flanks,2
6,planes,showered,guerrillas,shower,planes guerrillas,2
7,fragments,showered,town,shower,fragments town,2
8,friends,showered,attentions,shower,friends attentions,2
9,fire,showered,debris,shower,fire debris,2
10,buildings,shower,streets,shower,buildings streets,1
11,parties,shower,benefits,shower,parties benefits,1
12,activity,showered,state,shower,activity state,1
13,staff,showered,martinis,shower,staff martinis,1
14,building,shower,facilities,shower,building facilities,1
15,explosion,showered,neighbourhood,shower,explosion neighbourhood,1
16,man,showers,contents,shower,man contents,1
17,times,showered,memories,shower,times memories,1
18,police,showering,people,shower,police people,1
19,tears,shower,tune,shower,tears tune,1
20,favours,showered,suspicion,shower,favours suspicion,1
21,crowd,showered,mascot,shower,crowd mascot,1
22,crew,showers,settlement,shower,crew settlement,1
23,ceremony,showering,powder,shower,ceremony powder,1
24,pieces,shower,valley,shower,pieces valley,1
25,heavens,shower,flowers,shower,heavens flowers,1
26,press,showered,praise,shower,press praise,1
27,governments,shower,immigrants,shower,governments immigrants,1
28,nymphs,showering,flowers,shower,nymphs flowers,1
29,women,shower,activations,shower,women activations,1
30,colleagues,showered,encomiums,shower,colleagues encomiums,1
31,rain,showered,track,shower,rain track,1
32,gunners,showered,city,shower,gunners city,1
33,crowd,showered,ground,shower,crowd ground,1
34,students,shower,rooms,shower,students rooms,1
35,manager,showered,abuse,shower,manager abuse,1
36,duo,shower,family,shower,duo family,1
37,shells,showering,field,shower,shells field,1
38,protestors,showered,supporters,shower,protestors supporters,1
39,father,showers,flowers,shower,father flowers,1
40,bombshells,showered,sea,shower,bombshells sea,1
41,foes,showered,bouquets,shower,foes bouquets,1
42,audience,showered,cast,shower,audience cast,1
43,plan,shower,room,shower,plan room,1
44,soldiers,showered,arrows,shower,soldiers arrows,1
45,beings,showered,devotee,shower,beings devotee,1
46,mother,showered,affection,shower,mother affection,1
47,scaffold,showered,pieces,shower,scaffold pieces,1
48,dad,shower,restroom,shower,dad restroom,1
49,fans,showered,gifts,shower,fans gifts,1
50,media,showered,praise,shower,media praise,1
51,confetti,showered,stage,shower,confetti stage,1
52,government,showered,scientists,shower,government scientists,1
53,males,showered,house,shower,males house,1
54,fragments,showered,ship,shower,fragments ship,1
55,soldiers,showered,majority,shower,soldiers majority,1
56,audience,showered,stage,shower,audience stage,1
57,patroness,showered,miracles,shower,patroness miracles,1
58,rain,showered,tanker,shower,rain tanker,1
59,guests,shower,dancers,shower,guests dancers,1
60,inmates,shower,facilities,shower,inmates facilities,1
61,instance,showering,substances,shower,instance substances,1
62,plants,shower,district,shower,plants district,1
63,bath,shower,seconds,shower,bath seconds,1
64,fans,showered,worth,shower,fans worth,1
65,bowmen,showering,arrows,shower,bowmen arrows,1
66,celestials,showered,flowers,shower,celestials flowers,1
67,fans,shower,field,shower,fans field,1
68,spectators,showered,board,shower,spectators board,1
69,balloons,showered,skies,shower,balloons skies,1
70,thousands,showered,models,shower,thousands models,1
71,sky,showered,islands,shower,sky islands,1
72,fragments,showered,part,shower,fragments part,1
73,facility,shower,facilities,shower,facility facilities,1
74,lavatory,showered,contents,shower,lavatory contents,1
75,kids,shower,teeth,shower,kids teeth,1
76,explosion,showered,vessel,shower,explosion vessel,1
77,bathroom,shower,water,shower,bathroom water,1
78,gathering,shower,flowers,shower,gathering flowers,1
79,critics,showered,praise,shower,critics praise,1
80,people,shower,praise,shower,people praise,1
81,author,showers,encomium,shower,author encomium,1
82,women,showered,scene,shower,women scene,1
83,light,showers,subject,shower,light subject,1
84,mourners,showered,coffin,shower,mourners coffin,1
85,explosion,showered,city,shower,explosion city,1
86,foe,showered,platoon,shower,foe platoon,1
87,villagers,shower,flowers,shower,villagers flowers,1
88,gods,showered,flowers,shower,gods flowers,1
89,explosives,showered,spectators,shower,explosives spectators,1
90,club,shower,facilities,shower,club facilities,1
91,forces,showered,arrows,shower,forces arrows,1
92,fountain,showered,bridge,shower,fountain bridge,1
93,school,shower,facilities,shower,school facilities,1
94,company,shower,facilities,shower,company facilities,1
95,parents,shower,child,shower,parents child,1
96,man,showered,acts,shower,man acts,1
97,husband,showering,girl,shower,husband girl,1
98,narrator,shower,character,shower,narrator character,1
99,sleet,showered,ice,shower,sleet ice,1
