,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,figure,skating,events,skate,figure events,38
1,figure,skating,events,skate,figure events,38
2,figure,skating,events,skate,figure events,38
3,figure,skating,events,skate,figure events,38
4,figure,skating,events,skate,figure events,38
5,figure,skating,events,skate,figure events,38
6,figure,skating,events,skate,figure events,38
7,figure,skating,events,skate,figure events,38
8,figure,skating,events,skate,figure events,38
9,figure,skating,events,skate,figure events,38
10,figure,skating,events,skate,figure events,38
11,figure,skating,events,skate,figure events,38
12,figure,skating,events,skate,figure events,38
13,figure,skating,events,skate,figure events,38
14,figure,skating,events,skate,figure events,38
15,figure,skating,events,skate,figure events,38
16,figure,skating,events,skate,figure events,38
17,figure,skating,events,skate,figure events,38
18,figure,skating,events,skate,figure events,38
19,figure,skating,events,skate,figure events,38
20,figure,skating,events,skate,figure events,38
21,figure,skating,events,skate,figure events,38
22,figure,skating,events,skate,figure events,38
23,figure,skating,events,skate,figure events,38
24,figure,skating,events,skate,figure events,38
25,figure,skating,events,skate,figure events,38
26,figure,skating,events,skate,figure events,38
27,figure,skating,events,skate,figure events,38
28,figure,skating,events,skate,figure events,38
29,figure,skating,events,skate,figure events,38
30,figure,skating,events,skate,figure events,38
31,figure,skating,events,skate,figure events,38
32,figure,skating,events,skate,figure events,38
33,figure,skating,events,skate,figure events,38
34,figure,skating,events,skate,figure events,38
35,figure,skating,events,skate,figure events,38
36,figure,skating,events,skate,figure events,38
37,figure,skating,events,skate,figure events,38
38,figure,skating,body,skate,figure body,18
39,figure,skating,competition,skate,figure competition,18
40,figure,skating,body,skate,figure body,18
41,figure,skating,competition,skate,figure competition,18
42,figure,skating,body,skate,figure body,18
43,figure,skating,body,skate,figure body,18
44,figure,skating,body,skate,figure body,18
45,figure,skating,body,skate,figure body,18
46,figure,skating,competition,skate,figure competition,18
47,figure,skating,competition,skate,figure competition,18
48,figure,skating,competition,skate,figure competition,18
49,figure,skating,body,skate,figure body,18
50,figure,skating,body,skate,figure body,18
51,figure,skating,body,skate,figure body,18
52,figure,skating,body,skate,figure body,18
53,figure,skating,competition,skate,figure competition,18
54,figure,skating,competition,skate,figure competition,18
55,figure,skating,body,skate,figure body,18
56,figure,skating,body,skate,figure body,18
57,figure,skating,competition,skate,figure competition,18
58,figure,skating,body,skate,figure body,18
59,figure,skating,competition,skate,figure competition,18
60,figure,skating,body,skate,figure body,18
61,figure,skating,competition,skate,figure competition,18
62,figure,skating,competition,skate,figure competition,18
63,figure,skating,competition,skate,figure competition,18
64,figure,skating,body,skate,figure body,18
65,figure,skating,competition,skate,figure competition,18
66,figure,skating,competition,skate,figure competition,18
67,figure,skating,competition,skate,figure competition,18
68,figure,skating,body,skate,figure body,18
69,figure,skating,body,skate,figure body,18
70,figure,skating,competition,skate,figure competition,18
71,figure,skating,competition,skate,figure competition,18
72,figure,skating,body,skate,figure body,18
73,figure,skating,competition,skate,figure competition,18
74,rinks,skating,venues,skate,rinks venues,12
75,rinks,skating,venues,skate,rinks venues,12
76,rinks,skating,venues,skate,rinks venues,12
77,rinks,skating,venues,skate,rinks venues,12
78,rinks,skating,venues,skate,rinks venues,12
79,rinks,skating,venues,skate,rinks venues,12
80,rinks,skating,venues,skate,rinks venues,12
81,rinks,skating,venues,skate,rinks venues,12
82,rinks,skating,venues,skate,rinks venues,12
83,rinks,skating,venues,skate,rinks venues,12
84,rinks,skating,venues,skate,rinks venues,12
85,rinks,skating,venues,skate,rinks venues,12
86,figure,skating,history,skate,figure history,7
87,figure,skating,history,skate,figure history,7
88,figure,skating,history,skate,figure history,7
89,figure,skating,history,skate,figure history,7
90,figure,skating,history,skate,figure history,7
91,figure,skating,history,skate,figure history,7
92,figure,skating,history,skate,figure history,7
93,figure,skating,club,skate,figure club,6
94,figure,skating,club,skate,figure club,6
95,figure,skating,club,skate,figure club,6
96,figure,skating,club,skate,figure club,6
97,figure,skating,club,skate,figure club,6
98,figure,skating,club,skate,figure club,6
99,figure,skating,idols,skate,figure idols,4
100,figure,skating,idols,skate,figure idols,4
101,figure,skating,title,skate,figure title,4
102,pair,skated,program,skate,pair program,4
103,figure,skating,title,skate,figure title,4
104,figure,skating,program,skate,figure program,4
105,figure,skating,program,skate,figure program,4
106,figure,skating,medal,skate,figure medal,4
107,figure,skating,idols,skate,figure idols,4
108,pair,skated,program,skate,pair program,4
109,figure,skating,idols,skate,figure idols,4
110,pair,skating,program,skate,pair program,4
111,figure,skating,medal,skate,figure medal,4
112,figure,skating,title,skate,figure title,4
113,figure,skating,program,skate,figure program,4
114,figure,skating,title,skate,figure title,4
115,figure,skating,medal,skate,figure medal,4
116,figure,skating,program,skate,figure program,4
117,pair,skating,program,skate,pair program,4
118,figure,skating,medal,skate,figure medal,4
119,figure,skating,champion,skate,figure champion,3
120,events,skating,events,skate,events events,3
121,figure,skating,gold,skate,figure gold,3
122,figure,skating,coach,skate,figure coach,3
123,figure,skating,gold,skate,figure gold,3
124,links,skating,venues,skate,links venues,3
125,figure,skating,coach,skate,figure coach,3
126,figure,skating,career,skate,figure career,3
127,figure,skating,champion,skate,figure champion,3
128,links,skating,venues,skate,links venues,3
129,figure,skating,career,skate,figure career,3
130,figure,skating,coach,skate,figure coach,3
131,links,skating,venues,skate,links venues,3
132,events,skating,events,skate,events events,3
133,figure,skating,gold,skate,figure gold,3
134,events,skating,events,skate,events events,3
135,figure,skating,champion,skate,figure champion,3
136,figure,skating,career,skate,figure career,3
137,pairs,skated,programs,skate,pairs programs,2
138,pair,skating,lifts,skate,pair lifts,2
139,pair,skated,best,skate,pair best,2
140,ice,skating,way,skate,ice way,2
141,figure,skating,season,skate,figure season,2
142,figure,skating,disciplines,skate,figure disciplines,2
143,speed,skating,speed,skate,speed speed,2
144,speed,skating,speed,skate,speed speed,2
145,ice,skating,way,skate,ice way,2
146,pairs,skated,programs,skate,pairs programs,2
147,figure,skating,disciplines,skate,figure disciplines,2
148,pair,skated,best,skate,pair best,2
149,figure,skating,season,skate,figure season,2
150,pair,skating,lifts,skate,pair lifts,2
151,sister,skated,sport,skate,sister sport,1
152,cameos,skate,videos,skate,cameos videos,1
153,lady,skating,lap,skate,lady lap,1
154,figure,skating,competitions,skate,figure competitions,1
155,man,skating,laps,skate,man laps,1
156,figure,skating,politics,skate,figure politics,1
157,daughter,skating,costumes,skate,daughter costumes,1
158,dancers,skate,balance,skate,dancers balance,1
159,figure,skating,demands,skate,figure demands,1
160,skaters,skated,ramp,skate,skaters ramp,1
161,season,skating,marathons,skate,season marathons,1
162,legend,skated,way,skate,legend way,1
163,player,skate,lap,skate,player lap,1
164,establishments,skating,venues,skate,establishments venues,1
165,partner,skates,one,skate,partner one,1
166,singles,skating,links,skate,singles links,1
167,speed,skating,professionals,skate,speed professionals,1
168,speed,skating,medal,skate,speed medal,1
169,appearance,skating,gala,skate,appearance gala,1
170,men,skated,distance,skate,men distance,1
171,links,skating,lists,skate,links lists,1
172,figure,skating,lessons,skate,figure lessons,1
173,figure,skating,arena,skate,figure arena,1
174,speed,skating,championship,skate,speed championship,1
175,figure,skating,ethos,skate,figure ethos,1
176,country,skating,history,skate,country history,1
177,people,skating,commentators,skate,people commentators,1
178,wrist,skating,handrail,skate,wrist handrail,1
179,jam,skating,moves,skate,jam moves,1
180,figure,skating,reality,skate,figure reality,1
181,players,skate,counterclockwise,skate,players counterclockwise,1
182,consists,skating,program,skate,consists program,1
183,figure,skating,presentations,skate,figure presentations,1
184,people,skating,sportspeople,skate,people sportspeople,1
185,figure,skating,duo,skate,figure duo,1
186,roller,skating,events,skate,roller events,1
187,figure,skating,pair,skate,figure pair,1
188,teams,skating,four,skate,teams four,1
189,coach,skating,disestablishment,skate,coach disestablishment,1
190,one,skating,history,skate,one history,1
191,both,skated,programs,skate,both programs,1
192,penalties,skating,player,skate,penalties player,1
193,women,skated,periods,skate,women periods,1
194,skaters,skate,three,skate,skaters three,1
195,team,skated,encore,skate,team encore,1
196,records,skating,records,skate,records records,1
197,player,skates,way,skate,player way,1
198,player,skates,player,skate,player player,1
199,person,skating,team,skate,person team,1
200,figure,skating,venues,skate,figure venues,1
201,starts,skating,pipe,skate,starts pipe,1
202,inline,skating,tricks,skate,inline tricks,1
203,three,skated,program,skate,three program,1
204,generation,skated,way,skate,generation way,1
205,appearances,skating,singles,skate,appearances singles,1
206,pair,skating,seating,skate,pair seating,1
207,pair,skating,champion,skate,pair champion,1
208,skaters,skate,distances,skate,skaters distances,1
209,figure,skating,activities,skate,figure activities,1
210,figure,skating,controversy,skate,figure controversy,1
211,figure,skating,costumes,skate,figure costumes,1
212,men,skated,periods,skate,men periods,1
213,use,skating,concept,skate,use concept,1
214,centers,skating,place,skate,centers place,1
215,goaltender,skated,length,skate,goaltender length,1
216,skaters,skate,pipe,skate,skaters pipe,1
217,highlights,skating,medalists,skate,highlights medalists,1
218,backflip,skating,history,skate,backflip history,1
219,figure,skating,preliminaries,skate,figure preliminaries,1
220,figure,skating,finals,skate,figure finals,1
221,figure,skating,world,skate,figure world,1
222,people,skating,rink,skate,people rink,1
223,show,skating,events,skate,show events,1
224,figure,skating,champions,skate,figure champions,1
225,figure,skating,renaissance,skate,figure renaissance,1
226,story,skates,stomachs,skate,story stomachs,1
227,pair,skating,singles,skate,pair singles,1
228,figure,skating,skaters,skate,figure skaters,1
229,pair,skated,ice,skate,pair ice,1
230,days,skating,practices,skate,days practices,1
231,father,skated,kids,skate,father kids,1
232,speed,skating,list,skate,speed list,1
233,inline,skating,summer,skate,inline summer,1
234,figure,skating,coverage,skate,figure coverage,1
235,figure,skating,sport,skate,figure sport,1
236,pair,skating,programs,skate,pair programs,1
237,people,skating,money,skate,people money,1
238,figure,skating,figure,skate,figure figure,1
239,figure,skating,abilities,skate,figure abilities,1
240,competitors,skated,lap,skate,competitors lap,1
241,pentathlons,skating,kiting,skate,pentathlons kiting,1
242,expatriates,skating,wives,skate,expatriates wives,1
243,sister,skated,tribute,skate,sister tribute,1
244,skaters,skate,course,skate,skaters course,1
245,sources,skate,barest,skate,sources barest,1
246,women,skated,programs,skate,women programs,1
247,figure,skating,authorization,skate,figure authorization,1
248,figure,skating,debut,skate,figure debut,1
