,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,alpine,skiing,events,ski,alpine events,23
1,alpine,skiing,events,ski,alpine events,23
2,alpine,skiing,events,ski,alpine events,23
3,alpine,skiing,events,ski,alpine events,23
4,alpine,skiing,events,ski,alpine events,23
5,alpine,skiing,events,ski,alpine events,23
6,alpine,skiing,events,ski,alpine events,23
7,alpine,skiing,events,ski,alpine events,23
8,alpine,skiing,events,ski,alpine events,23
9,alpine,skiing,events,ski,alpine events,23
10,alpine,skiing,events,ski,alpine events,23
11,alpine,skiing,events,ski,alpine events,23
12,alpine,skiing,events,ski,alpine events,23
13,alpine,skiing,events,ski,alpine events,23
14,alpine,skiing,events,ski,alpine events,23
15,alpine,skiing,events,ski,alpine events,23
16,alpine,skiing,events,ski,alpine events,23
17,alpine,skiing,events,ski,alpine events,23
18,alpine,skiing,events,ski,alpine events,23
19,alpine,skiing,events,ski,alpine events,23
20,alpine,skiing,events,ski,alpine events,23
21,alpine,skiing,events,ski,alpine events,23
22,alpine,skiing,events,ski,alpine events,23
23,contestants,ski,distance,ski,contestants distance,12
24,contestants,ski,distance,ski,contestants distance,12
25,contestants,ski,distance,ski,contestants distance,12
26,contestants,ski,distance,ski,contestants distance,12
27,contestants,ski,distance,ski,contestants distance,12
28,contestants,ski,distance,ski,contestants distance,12
29,contestants,ski,distance,ski,contestants distance,12
30,contestants,ski,distance,ski,contestants distance,12
31,contestants,ski,distance,ski,contestants distance,12
32,contestants,ski,distance,ski,contestants distance,12
33,contestants,ski,distance,ski,contestants distance,12
34,contestants,ski,distance,ski,contestants distance,12
35,factoring,skiing,classification,ski,factoring classification,7
36,factoring,skiing,classification,ski,factoring classification,7
37,factoring,skiing,classification,ski,factoring classification,7
38,factoring,skiing,classification,ski,factoring classification,7
39,factoring,skiing,classification,ski,factoring classification,7
40,factoring,skiing,classification,ski,factoring classification,7
41,factoring,skiing,classification,ski,factoring classification,7
42,competition,skiing,events,ski,competition events,5
43,competition,skiing,events,ski,competition events,5
44,competition,skiing,events,ski,competition events,5
45,competition,skiing,events,ski,competition events,5
46,competition,skiing,events,ski,competition events,5
47,alpine,skiing,event,ski,alpine event,2
48,alpine,skiing,event,ski,alpine event,2
49,athletes,ski,slope,ski,athletes slope,2
50,athletes,ski,slope,ski,athletes slope,2
51,country,skiing,skis,ski,country skis,1
52,site,skiing,race,ski,site race,1
53,alpine,skiing,world,ski,alpine world,1
54,skiers,ski,snow,ski,skiers snow,1
55,country,skied,tennis,ski,country tennis,1
56,inbounds,skiing,terrain,ski,inbounds terrain,1
57,skiers,skied,distances,ski,skiers distances,1
58,teams,skied,leg,ski,teams leg,1
59,boys,skiing,events,ski,boys events,1
60,team,skied,kilometers,ski,team kilometers,1
61,leg,skied,laps,ski,leg laps,1
62,country,skiing,cable,ski,country cable,1
63,leader,skied,course,ski,leader course,1
64,skiers,ski,course,ski,skiers course,1
65,country,skiing,courses,ski,country courses,1
66,exhibition,ski,lifts,ski,exhibition lifts,1
67,man,skied,meat,ski,man meat,1
68,national,skied,escalator,ski,national escalator,1
69,players,ski,ramps,ski,players ramps,1
70,competitors,ski,kilometres,ski,competitors kilometres,1
71,commercials,ski,resorts,ski,commercials resorts,1
72,city,skiing,times,ski,city times,1
73,alpine,skiing,program,ski,alpine program,1
74,country,skiing,skiers,ski,country skiers,1
75,competitor,skis,course,ski,competitor course,1
76,group,ski,slope,ski,group slope,1
77,changes,skiing,confidence,ski,changes confidence,1
78,country,skiing,medal,ski,country medal,1
79,world,skiing,body,ski,world body,1
80,competitors,ski,course,ski,competitors course,1
81,country,skiing,successes,ski,country successes,1
82,alpine,skiing,team,ski,alpine team,1
83,ladies,skied,price,ski,ladies price,1
84,treats,ski,injuries,ski,treats injuries,1
85,alpine,skiing,year,ski,alpine year,1
86,six,skied,runs,ski,six runs,1
87,competitors,skied,way,ski,competitors way,1
88,blue,skied,ball,ski,blue ball,1
89,alpine,skiing,competition,ski,alpine competition,1
90,racers,ski,head,ski,racers head,1
91,results,skiing,competitions,ski,results competitions,1
92,alpine,skiing,trails,ski,alpine trails,1
93,alpine,skiing,courses,ski,alpine courses,1
94,country,skiing,part,ski,country part,1
