,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,wingtip,sliced,tail,slice,wingtip tail,2
1,cutter,sliced,one,slice,cutter one,2
2,river,slices,gap,slice,river gap,2
3,skater,sliced,biceps,slice,skater biceps,2
4,skater,sliced,biceps,slice,skater biceps,2
5,river,slices,gap,slice,river gap,2
6,guests,slice,leg,slice,guests leg,2
7,cutter,sliced,one,slice,cutter one,2
8,guests,slice,leg,slice,guests leg,2
9,wingtip,sliced,tail,slice,wingtip tail,2
10,roast,sliced,onion,slice,roast onion,1
11,one,sliced,horse,slice,one horse,1
12,forehead,sliced,razor,slice,forehead razor,1
13,creek,slices,narrow,slice,creek narrow,1
14,player,slice,enemies,slice,player enemies,1
15,time,sliced,seconds,slice,time seconds,1
16,recipes,sliced,kidney,slice,recipes kidney,1
17,propeller,sliced,distance,slice,propeller distance,1
18,woman,slicing,animals,slice,woman animals,1
19,women,slice,fish,slice,women fish,1
20,neck,sliced,wire,slice,neck wire,1
21,player,slices,tongue,slice,player tongue,1
22,array,slicing,operations,slice,array operations,1
23,mistress,slices,head,slice,mistress head,1
24,wing,sliced,engine,slice,wing engine,1
25,static,slicing,material,slice,static material,1
26,man,slices,ears,slice,man ears,1
27,volunteers,sliced,potatoes,slice,volunteers potatoes,1
28,knife,slices,line,slice,knife line,1
29,collision,sliced,two,slice,collision two,1
30,caretaker,sliced,backs,slice,caretaker backs,1
31,state,sliced,ball,slice,state ball,1
32,blades,slices,hawser,slice,blades hawser,1
33,players,slice,enemy,slice,players enemy,1
34,head,slices,neck,slice,head neck,1
35,exponents,slice,pieces,slice,exponents pieces,1
36,opponent,slices,eyepatch,slice,opponent eyepatch,1
37,glacier,sliced,cliffs,slice,glacier cliffs,1
38,propeller,sliced,fuselage,slice,propeller fuselage,1
39,blade,sliced,ankle,slice,blade ankle,1
40,wing,sliced,aircraft,slice,wing aircraft,1
41,lip,sliced,ear,slice,lip ear,1
42,man,slices,throat,slice,man throat,1
43,player,slicing,blocks,slice,player blocks,1
44,algorithm,slices,input,slice,algorithm input,1
45,one,sliced,artery,slice,one artery,1
46,member,slice,mushroom,slice,member mushroom,1
47,barmaid,slicing,fruit,slice,barmaid fruit,1
48,wingtip,sliced,stabilizer,slice,wingtip stabilizer,1
49,wing,sliced,wing,slice,wing wing,1
50,potatoes,sliced,eggs,slice,potatoes eggs,1
51,tomatoes,sliced,spices,slice,tomatoes spices,1
52,sovereignty,slicing,tactic,slice,sovereignty tactic,1
53,person,slicing,piece,slice,person piece,1
54,creature,slices,neck,slice,creature neck,1
55,characteristic,slicing,abdomen,slice,characteristic abdomen,1
56,axe,sliced,coat,slice,axe coat,1
57,blades,slice,ground,slice,blades ground,1
58,blow,sliced,cheek,slice,blow cheek,1
59,one,slices,head,slice,one head,1
60,soldier,slices,bracelet,slice,soldier bracelet,1
61,shaman,slices,linen,slice,shaman linen,1
62,gang,slices,ropes,slice,gang ropes,1
63,player,slicing,bombs,slice,player bombs,1
64,villagers,sliced,tongues,slice,villagers tongues,1
65,piece,sliced,car,slice,piece car,1
66,edges,sliced,back,slice,edges back,1
67,vacuum,sliced,boneless,slice,vacuum boneless,1
68,machine,sliced,loaf,slice,machine loaf,1
69,leg,sliced,ankle,slice,leg ankle,1
70,chase,slices,throat,slice,chase throat,1
