,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,career,spanned,years,span,career years,353
1,career,spanned,years,span,career years,353
2,career,spanned,years,span,career years,353
3,career,spanned,years,span,career years,353
4,career,spanned,years,span,career years,353
5,career,spanned,years,span,career years,353
6,career,spanned,years,span,career years,353
7,career,spanned,years,span,career years,353
8,career,spanned,years,span,career years,353
9,career,spanned,years,span,career years,353
10,career,spanned,years,span,career years,353
11,career,spanned,years,span,career years,353
12,career,spans,years,span,career years,353
13,career,spanned,years,span,career years,353
14,career,spanned,years,span,career years,353
15,career,spanned,years,span,career years,353
16,career,spanned,years,span,career years,353
17,career,spanned,years,span,career years,353
18,career,spanned,years,span,career years,353
19,career,spans,years,span,career years,353
20,career,spanned,years,span,career years,353
21,career,spanned,years,span,career years,353
22,career,spanned,years,span,career years,353
23,career,spanned,years,span,career years,353
24,career,spanned,years,span,career years,353
25,career,spans,years,span,career years,353
26,career,spanned,years,span,career years,353
27,career,spans,years,span,career years,353
28,career,spanned,years,span,career years,353
29,career,spanned,years,span,career years,353
30,career,spanned,years,span,career years,353
31,career,spanned,years,span,career years,353
32,career,spanned,years,span,career years,353
33,career,spanned,years,span,career years,353
34,career,spanned,years,span,career years,353
35,career,spanned,years,span,career years,353
36,career,spanned,years,span,career years,353
37,career,spanned,years,span,career years,353
38,career,spanned,years,span,career years,353
39,career,spanned,years,span,career years,353
40,career,spanned,years,span,career years,353
41,career,spanned,years,span,career years,353
42,career,spans,years,span,career years,353
43,career,spanned,years,span,career years,353
44,career,spanned,years,span,career years,353
45,career,spanned,years,span,career years,353
46,career,spanned,years,span,career years,353
47,career,spanned,years,span,career years,353
48,career,spanned,years,span,career years,353
49,career,spanned,years,span,career years,353
50,career,spanned,years,span,career years,353
51,career,spanned,years,span,career years,353
52,career,spanned,years,span,career years,353
53,career,spanned,years,span,career years,353
54,career,spanned,years,span,career years,353
55,career,spanned,years,span,career years,353
56,career,spanned,years,span,career years,353
57,career,spanned,years,span,career years,353
58,career,spanned,years,span,career years,353
59,career,spanned,years,span,career years,353
60,career,spanned,years,span,career years,353
61,career,spanned,years,span,career years,353
62,career,spanned,years,span,career years,353
63,career,spanned,years,span,career years,353
64,career,spanned,years,span,career years,353
65,career,spanned,years,span,career years,353
66,career,spanned,years,span,career years,353
67,career,spanned,years,span,career years,353
68,career,spanned,years,span,career years,353
69,career,spanned,years,span,career years,353
70,career,spanned,years,span,career years,353
71,career,spanned,years,span,career years,353
72,career,spanned,years,span,career years,353
73,career,spanned,years,span,career years,353
74,career,spans,years,span,career years,353
75,career,spanned,years,span,career years,353
76,career,spanned,years,span,career years,353
77,career,spanned,years,span,career years,353
78,career,spanned,years,span,career years,353
79,career,spanned,years,span,career years,353
80,career,spanned,years,span,career years,353
81,career,spanned,years,span,career years,353
82,career,spans,years,span,career years,353
83,career,spanned,years,span,career years,353
84,career,spanned,years,span,career years,353
85,career,spanned,years,span,career years,353
86,career,spanned,years,span,career years,353
87,career,spans,years,span,career years,353
88,career,spans,years,span,career years,353
89,career,spans,years,span,career years,353
90,career,spanned,years,span,career years,353
91,career,spanned,years,span,career years,353
92,career,spanned,years,span,career years,353
93,career,spanned,years,span,career years,353
94,career,spanned,years,span,career years,353
95,career,spanned,years,span,career years,353
96,career,spanned,years,span,career years,353
97,career,spanning,years,span,career years,353
98,career,spanned,years,span,career years,353
99,career,spanned,years,span,career years,353
100,career,spanned,years,span,career years,353
101,career,spanned,years,span,career years,353
102,career,spanned,years,span,career years,353
103,career,spanned,years,span,career years,353
104,career,spanned,years,span,career years,353
105,career,spans,years,span,career years,353
106,career,spanned,years,span,career years,353
107,career,spanned,years,span,career years,353
108,career,spanned,years,span,career years,353
109,career,spanned,years,span,career years,353
110,career,spanned,years,span,career years,353
111,career,spanned,years,span,career years,353
112,career,spanned,years,span,career years,353
113,career,spanned,years,span,career years,353
114,career,spanned,years,span,career years,353
115,career,spanned,years,span,career years,353
116,career,spanned,years,span,career years,353
117,career,spanned,years,span,career years,353
118,career,spanned,years,span,career years,353
119,career,spanned,years,span,career years,353
120,career,spanned,years,span,career years,353
121,career,spanned,years,span,career years,353
122,career,spanned,years,span,career years,353
123,career,spanned,years,span,career years,353
124,career,spanned,years,span,career years,353
125,career,spanned,years,span,career years,353
126,career,spanned,years,span,career years,353
127,career,spanned,years,span,career years,353
128,career,spanned,years,span,career years,353
129,career,spanned,years,span,career years,353
130,career,spanned,years,span,career years,353
131,career,spanned,years,span,career years,353
132,career,spanned,years,span,career years,353
133,career,spanned,years,span,career years,353
134,career,spanned,years,span,career years,353
135,career,spanned,years,span,career years,353
136,career,spanned,years,span,career years,353
137,career,spanned,years,span,career years,353
138,career,spanned,years,span,career years,353
139,career,spanned,years,span,career years,353
140,career,spanned,years,span,career years,353
141,career,spanned,years,span,career years,353
142,career,spanned,years,span,career years,353
143,career,spanned,years,span,career years,353
144,career,spanned,years,span,career years,353
145,career,spanned,years,span,career years,353
146,career,spanned,years,span,career years,353
147,career,spanned,years,span,career years,353
148,career,spanned,years,span,career years,353
149,career,spanned,years,span,career years,353
150,career,spanned,years,span,career years,353
151,career,spanned,years,span,career years,353
152,career,spanned,years,span,career years,353
153,career,spanned,years,span,career years,353
154,career,spanned,years,span,career years,353
155,career,spanned,years,span,career years,353
156,career,spanned,years,span,career years,353
157,career,spanned,years,span,career years,353
158,career,spanned,years,span,career years,353
159,career,spanned,years,span,career years,353
160,career,spanned,years,span,career years,353
161,career,spanned,years,span,career years,353
162,career,spanned,years,span,career years,353
163,career,spanned,years,span,career years,353
164,career,spanned,years,span,career years,353
165,career,spanned,years,span,career years,353
166,career,spanned,years,span,career years,353
167,career,spanned,years,span,career years,353
168,career,spanned,years,span,career years,353
169,career,spanned,years,span,career years,353
170,career,spanned,years,span,career years,353
171,career,spanned,years,span,career years,353
172,career,spanned,years,span,career years,353
173,career,spanned,years,span,career years,353
174,career,spanned,years,span,career years,353
175,career,spanning,years,span,career years,353
176,career,spanned,years,span,career years,353
177,career,spanned,years,span,career years,353
178,career,spanned,years,span,career years,353
179,career,spanned,years,span,career years,353
180,career,spanned,years,span,career years,353
181,career,spanned,years,span,career years,353
182,career,spanned,years,span,career years,353
183,career,spanned,years,span,career years,353
184,career,spanned,years,span,career years,353
185,career,spanned,years,span,career years,353
186,career,spanned,years,span,career years,353
187,career,spanned,years,span,career years,353
188,career,spanned,years,span,career years,353
189,career,spanned,years,span,career years,353
190,career,spanned,years,span,career years,353
191,career,spanned,years,span,career years,353
192,career,spanned,years,span,career years,353
193,career,spanned,years,span,career years,353
194,career,spanned,years,span,career years,353
195,career,spanned,years,span,career years,353
196,career,spanning,years,span,career years,353
197,career,spanned,years,span,career years,353
198,career,spanned,years,span,career years,353
199,career,spanned,years,span,career years,353
200,career,spanned,years,span,career years,353
201,career,spanning,years,span,career years,353
202,career,spanned,years,span,career years,353
203,career,spanned,years,span,career years,353
204,career,spanned,years,span,career years,353
205,career,spanned,years,span,career years,353
206,career,spanned,years,span,career years,353
207,career,spanned,years,span,career years,353
208,career,spanned,years,span,career years,353
209,career,spanned,years,span,career years,353
210,career,spans,years,span,career years,353
211,career,spanned,years,span,career years,353
212,career,spanned,years,span,career years,353
213,career,spanned,years,span,career years,353
214,career,spanned,years,span,career years,353
215,career,spanned,years,span,career years,353
216,career,spanned,years,span,career years,353
217,career,spanned,years,span,career years,353
218,career,spans,years,span,career years,353
219,career,spanned,years,span,career years,353
220,career,spanned,years,span,career years,353
221,career,spanned,years,span,career years,353
222,career,spanned,years,span,career years,353
223,career,spans,years,span,career years,353
224,career,spanned,years,span,career years,353
225,career,spanned,years,span,career years,353
226,career,spanned,years,span,career years,353
227,career,spanned,years,span,career years,353
228,career,spanned,years,span,career years,353
229,career,spanned,years,span,career years,353
230,career,spanned,years,span,career years,353
231,career,spanned,years,span,career years,353
232,career,spanned,years,span,career years,353
233,career,spanned,years,span,career years,353
234,career,spanned,years,span,career years,353
235,career,spanned,years,span,career years,353
236,career,spanned,years,span,career years,353
237,career,spanned,years,span,career years,353
238,career,spanned,years,span,career years,353
239,career,spanned,years,span,career years,353
240,career,spanned,years,span,career years,353
241,career,spanned,years,span,career years,353
242,career,spanned,years,span,career years,353
243,career,spanned,years,span,career years,353
244,career,spanned,years,span,career years,353
245,career,spanned,years,span,career years,353
246,career,spanned,years,span,career years,353
247,career,spanned,years,span,career years,353
248,career,spanned,years,span,career years,353
249,career,spanned,years,span,career years,353
250,career,spanned,years,span,career years,353
251,career,spans,years,span,career years,353
252,career,spanned,years,span,career years,353
253,career,spanned,years,span,career years,353
254,career,spanned,years,span,career years,353
255,career,spanned,years,span,career years,353
256,career,spanned,years,span,career years,353
257,career,spanned,years,span,career years,353
258,career,spanned,years,span,career years,353
259,career,spanned,years,span,career years,353
260,career,spanned,years,span,career years,353
261,career,spanned,years,span,career years,353
262,career,spanned,years,span,career years,353
263,career,spanned,years,span,career years,353
264,career,spanned,years,span,career years,353
265,career,spanned,years,span,career years,353
266,career,spanned,years,span,career years,353
