,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,men,stacked,arms,stack,men arms,4
1,men,stacked,arms,stack,men arms,4
2,men,stacked,arms,stack,men arms,4
3,men,stack,arms,stack,men arms,4
4,recruits,stack,clothes,stack,recruits clothes,3
5,recruits,stack,clothes,stack,recruits clothes,3
6,recruits,stack,clothes,stack,recruits clothes,3
7,two,stacked,one,stack,two one,2
8,merchants,stacked,goods,stack,merchants goods,2
9,merchants,stacked,goods,stack,merchants goods,2
10,smoke,stacks,gases,stack,smoke gases,2
11,smoke,stacks,gases,stack,smoke gases,2
12,regiment,stacked,arms,stack,regiment arms,2
13,planes,stacked,one,stack,planes one,2
14,planes,stacked,one,stack,planes one,2
15,two,stacked,one,stack,two one,2
16,regiment,stacked,arms,stack,regiment arms,2
17,corms,stacked,one,stack,corms one,1
18,rows,stacked,ten,stack,rows ten,1
19,wings,stacked,one,stack,wings one,1
20,polypropylene,stacking,chair,stack,polypropylene chair,1
21,integration,stacks,values,stack,integration values,1
22,families,stack,blocks,stack,families blocks,1
23,vehicle,stack,containers,stack,vehicle containers,1
24,players,stack,objects,stack,players objects,1
25,player,stacking,yards,stack,player yards,1
26,teams,stack,watermelons,stack,teams watermelons,1
27,formation,stacked,one,stack,formation one,1
28,types,stacked,cone,stack,types cone,1
29,band,stacking,harmonies,stack,band harmonies,1
30,one,stacked,circle,stack,one circle,1
31,men,stack,wood,stack,men wood,1
32,approach,stacks,dies,stack,approach dies,1
33,sails,stacked,pipes,stack,sails pipes,1
34,chimney,stack,date,stack,chimney date,1
35,bodies,stacked,deep,stack,bodies deep,1
36,coal,stacked,reclaimers,stack,coal reclaimers,1
37,smoke,stacks,amidships,stack,smoke amidships,1
38,harvester,stacks,logs,stack,harvester logs,1
39,module,stacked,one,stack,module one,1
40,model,stacked,styling,stack,model styling,1
41,employees,stack,saucers,stack,employees saucers,1
42,field,stacked,spot,stack,field spot,1
43,tellers,stacked,cash,stack,tellers cash,1
44,sections,stack,layer,stack,sections layer,1
45,medial,stacked,practice,stack,medial practice,1
46,wings,stacked,high,stack,wings high,1
47,farm,stacked,polycultures,stack,farm polycultures,1
48,place,stack,wings,stack,place wings,1
49,rings,stack,ring,stack,rings ring,1
50,men,stacked,weapons,stack,men weapons,1
51,plan,stacked,squares,stack,plan squares,1
52,level,stacked,porches,stack,level porches,1
53,optimal,stack,targets,stack,optimal targets,1
54,player,stacks,coins,stack,player coins,1
55,works,stacked,creases,stack,works creases,1
56,bricks,stacked,parallel,stack,bricks parallel,1
57,crates,stacked,high,stack,crates high,1
58,cells,stacked,crane,stack,cells crane,1
59,piece,stacks,everything,stack,piece everything,1
60,incident,stacked,attention,stack,incident attention,1
61,chimney,stack,standing,stack,chimney standing,1
62,competitors,stacked,objectives,stack,competitors objectives,1
63,battalion,stacked,arms,stack,battalion arms,1
64,killer,stacking,bodies,stack,killer bodies,1
65,men,stacked,furs,stack,men furs,1
66,furniture,stacked,space,stack,furniture space,1
67,consequences,stack,times,stack,consequences times,1
68,reporter,stacked,one,stack,reporter one,1
69,challenges,stack,completion,stack,challenges completion,1
70,containers,stacked,high,stack,containers high,1
71,module,stack,another,stack,module another,1
72,police,stacked,error,stack,police error,1
73,men,stacked,corpses,stack,men corpses,1
74,farmers,stacked,bales,stack,farmers bales,1
75,routes,stacked,challenges,stack,routes challenges,1
76,challengers,stack,contest,stack,challengers contest,1
77,homeowners,stacked,sandbags,stack,homeowners sandbags,1
78,phrases,stacked,two,stack,phrases two,1
79,zones,stacked,zone,stack,zones zone,1
80,tone,stack,circuit,stack,tone circuit,1
81,wall,stacks,door,stack,wall door,1
82,wealth,stacked,odds,stack,wealth odds,1
83,players,stack,ingredients,stack,players ingredients,1
84,player,stack,ingredients,stack,player ingredients,1
