,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,bakers,stamped,bread,stamp,bakers bread,4
1,bakers,stamped,bread,stamp,bakers bread,4
2,bakers,stamped,bread,stamp,bakers bread,4
3,bakers,stamped,bread,stamp,bakers bread,4
4,guns,stamped,breaths,stamp,guns breaths,3
5,guns,stamped,breaths,stamp,guns breaths,3
6,ethnicity,stamps,personalities,stamp,ethnicity personalities,3
7,ethnicity,stamps,personalities,stamp,ethnicity personalities,3
8,guns,stamped,breaths,stamp,guns breaths,3
9,ethnicity,stamps,personalities,stamp,ethnicity personalities,3
10,issue,stamps,stamps,stamp,issue stamps,2
11,spokeswoman,stamped,file,stamp,spokeswoman file,2
12,stomp,stamp,feet,stamp,stomp feet,2
13,stomp,stamp,feet,stamp,stomp feet,2
14,mark,stamped,watches,stamp,mark watches,2
15,spokeswoman,stamped,file,stamp,spokeswoman file,2
16,people,stamp,passports,stamp,people passports,2
17,people,stamp,passports,stamp,people passports,2
18,issue,stamps,stamps,stamp,issue stamps,2
19,government,stamp,rebellion,stamp,government rebellion,2
20,mark,stamped,watches,stamp,mark watches,2
21,government,stamp,rebellion,stamp,government rebellion,2
22,upland,stamped,influences,stamp,upland influences,1
23,police,stamped,office,stamp,police office,1
24,dynasties,stamped,banknotes,stamp,dynasties banknotes,1
25,decision,stamped,authority,stamp,decision authority,1
26,artist,stamped,footprints,stamp,artist footprints,1
27,curator,stamped,specimen,stamp,curator specimen,1
28,rapper,stamped,impression,stamp,rapper impression,1
29,band,stamped,place,stamp,band place,1
30,cards,stamped,envelopes,stamp,cards envelopes,1
31,revenue,stamped,papers,stamp,revenue papers,1
32,king,stamping,authority,stamp,king authority,1
33,team,stamped,amphorae,stamp,team amphorae,1
34,four,stamped,hundreds,stamp,four hundreds,1
35,trophy,stamped,maker,stamp,trophy maker,1
36,hand,stamped,cancellations,stamp,hand cancellations,1
37,interests,stamped,covers,stamp,interests covers,1
38,one,stamped,feet,stamp,one feet,1
39,service,stamped,letters,stamp,service letters,1
40,sets,stamp,feet,stamp,sets feet,1
41,official,stamped,envelopes,stamp,official envelopes,1
42,officers,stamp,literature,stamp,officers literature,1
43,walls,stamped,leather,stamp,walls leather,1
44,number,stamped,blades,stamp,number blades,1
45,maker,stamped,seal,stamp,maker seal,1
46,language,stamped,funds,stamp,language funds,1
47,team,stamp,passport,stamp,team passport,1
48,audience,stamped,feet,stamp,audience feet,1
49,postage,stamp,life,stamp,postage life,1
50,boy,stamped,sheets,stamp,boy sheets,1
51,all,stamped,whistles,stamp,all whistles,1
52,mint,stamped,coins,stamp,mint coins,1
53,robbers,stamped,campfire,stamp,robbers campfire,1
54,changes,stamped,era,stamp,changes era,1
55,program,stamped,mark,stamp,program mark,1
56,voters,stamped,approval,stamp,voters approval,1
57,differs,stamped,guns,stamp,differs guns,1
58,stationery,stamped,envelopes,stamp,stationery envelopes,1
59,eleventh,stamp,part,stamp,eleventh part,1
60,one,stamped,coins,stamp,one coins,1
61,details,stamped,doubts,stamp,details doubts,1
62,dancing,stamping,ground,stamp,dancing ground,1
63,portrayal,stamps,fact,stamp,portrayal fact,1
64,rubber,stamped,messages,stamp,rubber messages,1
65,characters,stamped,merchants,stamp,characters merchants,1
66,children,stamp,ground,stamp,children ground,1
67,bear,stamped,images,stamp,bear images,1
68,novel,stamped,work,stamp,novel work,1
69,archangel,stamped,foot,stamp,archangel foot,1
70,men,stamped,personalities,stamp,men personalities,1
71,bull,stamped,hoof,stamp,bull hoof,1
72,presence,stamped,ground,stamp,presence ground,1
73,molds,stamped,sealer,stamp,molds sealer,1
74,simple,stamped,pottery,stamp,simple pottery,1
75,receiver,stamped,rails,stamp,receiver rails,1
76,all,stamped,post,stamp,all post,1
77,dancer,stamps,feet,stamp,dancer feet,1
78,climber,stamped,name,stamp,climber name,1
79,center,stamped,hands,stamp,center hands,1
80,museum,stamped,envelopes,stamp,museum envelopes,1
81,bamboo,stamping,tubes,stamp,bamboo tubes,1
82,cloth,stamps,impression,stamp,cloth impression,1
83,people,stamped,dollars,stamp,people dollars,1
