,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,name,stuck,name,stick,name name,15
1,name,stuck,name,stick,name name,15
2,name,stuck,name,stick,name name,15
3,name,stuck,name,stick,name name,15
4,name,stuck,name,stick,name name,15
5,name,stuck,name,stick,name name,15
6,name,stuck,name,stick,name name,15
7,name,stuck,name,stick,name name,15
8,name,stuck,name,stick,name name,15
9,name,stuck,name,stick,name name,15
10,name,stuck,name,stick,name name,15
11,name,stuck,name,stick,name name,15
12,name,stuck,name,stick,name name,15
13,name,stuck,name,stick,name name,15
14,name,stuck,name,stick,name name,15
15,name,stuck,band,stick,name band,4
16,name,stuck,band,stick,name band,4
17,name,stuck,band,stick,name band,4
18,selector,stuck,reactions,stick,selector reactions,4
19,selector,stuck,reactions,stick,selector reactions,4
20,selector,stuck,reactions,stick,selector reactions,4
21,one,stick,head,stick,one head,4
22,one,stuck,head,stick,one head,4
23,name,stuck,band,stick,name band,4
24,one,sticks,head,stick,one head,4
25,selector,stuck,reactions,stick,selector reactions,4
26,one,stick,head,stick,one head,4
27,baggageman,stuck,revolver,stick,baggageman revolver,3
28,baggageman,stuck,revolver,stick,baggageman revolver,3
29,baggageman,stuck,revolver,stick,baggageman revolver,3
30,hands,stick,power,stick,hands power,2
31,man,sticks,tongue,stick,man tongue,2
32,name,stuck,tournament,stick,name tournament,2
33,worker,stuck,needle,stick,worker needle,2
34,name,stuck,nickname,stick,name nickname,2
35,prisoner,sticking,pins,stick,prisoner pins,2
36,chick,sticks,head,stick,chick head,2
37,cat,sticks,head,stick,cat head,2
38,name,stuck,tournament,stick,name tournament,2
39,veterans,stuck,pila,stick,veterans pila,2
40,name,stuck,nickname,stick,name nickname,2
41,names,stick,framing,stick,names framing,2
42,name,stuck,phrase,stick,name phrase,2
43,name,stuck,phrase,stick,name phrase,2
44,names,stick,framing,stick,names framing,2
45,latter,stuck,coins,stick,latter coins,2
46,resonance,stuck,syntony,stick,resonance syntony,2
47,boys,stick,nose,stick,boys nose,2
48,cat,sticks,head,stick,cat head,2
49,nickname,stuck,rest,stick,nickname rest,2
50,master,stuck,tongue,stick,master tongue,2
51,boys,stick,nose,stick,boys nose,2
52,shroud,stuck,all,stick,shroud all,2
53,resonance,stuck,syntony,stick,resonance syntony,2
54,man,sticks,tongue,stick,man tongue,2
55,pass,stick,lap,stick,pass lap,2
56,doctors,stuck,pins,stick,doctors pins,2
57,chick,stuck,head,stick,chick head,2
58,man,stuck,gun,stick,man gun,2
59,name,stuck,title,stick,name title,2
60,name,stuck,term,stick,name term,2
