,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,film,stirred,controversy,stir,film controversy,14
1,film,stirred,controversy,stir,film controversy,14
2,film,stirred,controversy,stir,film controversy,14
3,film,stirred,controversy,stir,film controversy,14
4,film,stirred,controversy,stir,film controversy,14
5,film,stirred,controversy,stir,film controversy,14
6,film,stirred,controversy,stir,film controversy,14
7,film,stirred,controversy,stir,film controversy,14
8,film,stirred,controversy,stir,film controversy,14
9,film,stirred,controversy,stir,film controversy,14
10,film,stirred,controversy,stir,film controversy,14
11,film,stirred,controversy,stir,film controversy,14
12,film,stirred,controversy,stir,film controversy,14
13,film,stirred,controversy,stir,film controversy,14
14,song,stirred,controversy,stir,song controversy,6
15,presence,stirred,unrest,stir,presence unrest,6
16,book,stirred,controversy,stir,book controversy,6
17,presence,stirred,unrest,stir,presence unrest,6
18,presence,stirred,unrest,stir,presence unrest,6
19,presence,stirred,unrest,stir,presence unrest,6
20,presence,stirred,unrest,stir,presence unrest,6
21,comments,stirred,controversy,stir,comments controversy,6
22,book,stirred,controversy,stir,book controversy,6
23,presence,stirred,unrest,stir,presence unrest,6
24,song,stirred,controversy,stir,song controversy,6
25,book,stirred,controversy,stir,book controversy,6
26,comments,stirred,controversy,stir,comments controversy,6
27,comments,stirred,controversy,stir,comments controversy,6
28,book,stirs,controversy,stir,book controversy,6
29,song,stirred,controversy,stir,song controversy,6
30,song,stirred,controversy,stir,song controversy,6
31,song,stirs,controversy,stir,song controversy,6
32,book,stirred,controversy,stir,book controversy,6
33,comments,stirred,controversy,stir,comments controversy,6
34,comments,stirred,controversy,stir,comments controversy,6
35,comments,stirred,controversy,stir,comments controversy,6
36,book,stirred,controversy,stir,book controversy,6
37,song,stirred,controversy,stir,song controversy,6
38,case,stirred,controversy,stir,case controversy,4
39,work,stirred,controversy,stir,work controversy,4
40,requirement,stirred,controversy,stir,requirement controversy,4
41,case,stirred,controversy,stir,case controversy,4
42,work,stirred,controversy,stir,work controversy,4
43,requirement,stirred,controversy,stir,requirement controversy,4
44,requirement,stirred,controversy,stir,requirement controversy,4
45,rival,stirred,trouble,stir,rival trouble,4
46,rival,stirred,trouble,stir,rival trouble,4
47,rival,stirred,trouble,stir,rival trouble,4
48,rival,stirred,trouble,stir,rival trouble,4
49,work,stirred,controversy,stir,work controversy,4
50,work,stirred,controversy,stir,work controversy,4
