,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,eelpout,suckles,embryos,suckle,eelpout embryos,2
1,eelpout,suckles,embryos,suckle,eelpout embryos,2
2,mother,suckled,goat,suckle,mother goat,1
3,virus,suckling,mice,suckle,virus mice,1
4,woman,suckling,child,suckle,woman child,1
5,female,suckles,son,suckle,female son,1
6,milk,suckling,response,suckle,milk response,1
7,mothers,suckle,calves,suckle,mothers calves,1
8,butterflies,suckle,plants,suckle,butterflies plants,1
9,baby,suckles,muscles,suckle,baby muscles,1
10,females,suckle,young,suckle,females young,1
11,figure,suckled,philosophers,suckle,figure philosophers,1
12,sisters,suckled,child,suckle,sisters child,1
13,midwife,suckled,hart,suckle,midwife hart,1
14,aunts,suckle,young,suckle,aunts young,1
15,milk,suckling,pigs,suckle,milk pigs,1
16,cow,suckling,calf,suckle,cow calf,1
17,snake,suckling,juice,suckle,snake juice,1
18,twin,suckled,wolves,suckle,twin wolves,1
19,mother,suckles,calf,suckle,mother calf,1
20,offspring,suckles,access,suckle,offspring access,1
21,calf,suckling,lasts,suckle,calf lasts,1
22,mare,suckled,child,suckle,mare child,1
23,pups,suckling,efficiency,suckle,pups efficiency,1
24,princess,suckling,baby,suckle,princess baby,1
25,animals,suckle,child,suckle,animals child,1
