,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,game,swung,way,swing,game way,4
1,protodeacon,swings,censer,swing,protodeacon censer,4
2,game,swung,way,swing,game way,4
3,protodeacon,swings,censer,swing,protodeacon censer,4
4,game,swung,way,swing,game way,4
5,game,swung,way,swing,game way,4
6,protodeacon,swings,censer,swing,protodeacon censer,4
7,protodeacon,swings,censer,swing,protodeacon censer,4
8,attacker,swings,leg,swing,attacker leg,3
9,pendulum,swinging,way,swing,pendulum way,3
10,player,swings,bat,swing,player bat,3
11,adviser,swung,hours,swing,adviser hours,3
12,line,swings,westwards,swing,line westwards,3
13,line,swings,westwards,swing,line westwards,3
14,momentum,swung,way,swing,momentum way,3
15,attacker,swings,leg,swing,attacker leg,3
16,adviser,swung,hours,swing,adviser hours,3
17,player,swing,bat,swing,player bat,3
18,attacker,swings,leg,swing,attacker leg,3
19,momentum,swung,way,swing,momentum way,3
20,player,swing,bat,swing,player bat,3
21,pendulum,swung,way,swing,pendulum way,3
22,county,swung,points,swing,county points,3
23,county,swung,points,swing,county points,3
24,pendulum,swung,way,swing,pendulum way,3
25,line,swings,westwards,swing,line westwards,3
26,adviser,swung,hours,swing,adviser hours,3
27,county,swung,points,swing,county points,3
28,momentum,swinging,way,swing,momentum way,3
29,goals,swing,tie,swing,goals tie,2
30,dancer,swing,steps,swing,dancer steps,2
31,legionnaire,swings,degrees,swing,legionnaire degrees,2
32,plot,swung,sympathy,swing,plot sympathy,2
33,line,swings,east,swing,line east,2
34,dancer,swing,steps,swing,dancer steps,2
35,party,swing,seat,swing,party seat,2
36,legionnaire,swings,degrees,swing,legionnaire degrees,2
37,goals,swung,tie,swing,goals tie,2
38,general,swung,force,swing,general force,2
39,one,swings,racquet,swing,one racquet,2
40,player,swings,elbow,swing,player elbow,2
41,mechanism,swings,top,swing,mechanism top,2
42,ball,swung,way,swing,ball way,2
43,player,swing,hooks,swing,player hooks,2
44,mechanism,swings,top,swing,mechanism top,2
45,player,swings,stick,swing,player stick,2
46,general,swung,force,swing,general force,2
47,wheels,swung,downwards,swing,wheels downwards,2
48,player,swings,elbow,swing,player elbow,2
49,one,swings,racquet,swing,one racquet,2
50,ball,swung,way,swing,ball way,2
51,player,swinging,stick,swing,player stick,2
52,angel,swung,sickle,swing,angel sickle,2
53,angel,swung,sickle,swing,angel sickle,2
54,participants,swing,legs,swing,participants legs,2
55,yogi,swings,body,swing,yogi body,2
56,yogi,swings,body,swing,yogi body,2
57,party,swing,seat,swing,party seat,2
58,wheels,swung,downwards,swing,wheels downwards,2
59,infantry,swung,way,swing,infantry way,2
60,partners,swing,arms,swing,partners arms,2
61,player,swing,hooks,swing,player hooks,2
62,batter,swings,bat,swing,batter bat,2
63,plot,swung,sympathy,swing,plot sympathy,2
64,infantry,swung,way,swing,infantry way,2
65,line,swinging,east,swing,line east,2
66,partners,swing,arms,swing,partners arms,2
67,batter,swings,bat,swing,batter bat,2
68,participants,swing,legs,swing,participants legs,2
69,executioner,swung,axe,swing,executioner axe,1
70,reinforcements,swing,momentum,swing,reinforcements momentum,1
71,undertow,swung,ship,swing,undertow ship,1
72,pilot,swung,plane,swing,pilot plane,1
73,division,swung,northwards,swing,division northwards,1
74,seat,swung,recount,swing,seat recount,1
75,vessel,swung,sideward,swing,vessel sideward,1
76,standing,swings,legs,swing,standing legs,1
