,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,river,swirled,sparks,swirl,river sparks,2
1,river,swirled,sparks,swirl,river sparks,2
2,birds,swirling,masse,swirl,birds masse,1
3,album,swirling,energy,swirl,album energy,1
4,fighting,swirled,round,swirl,fighting round,1
5,speculation,swirled,names,swirl,speculation names,1
6,winds,swirl,curtains,swirl,winds curtains,1
7,wind,swirling,snow,swirl,wind snow,1
8,room,swirls,headache,swirl,room headache,1
9,actor,swirl,finger,swirl,actor finger,1
10,rumors,swirled,frontman,swirl,rumors frontman,1
11,appendages,swirl,water,swirl,appendages water,1
12,group,swirling,songs,swirl,group songs,1
13,guitars,swirled,licks,swirl,guitars licks,1
14,thoughts,swirling,skirts,swirl,thoughts skirts,1
15,players,swirled,dregs,swirl,players dregs,1
16,musicians,swirling,cadenzas,swirl,musicians cadenzas,1
