,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,lifters,tape,wrists,tape,lifters wrists,1
1,climbers,tape,ends,tape,climbers ends,1
2,climbers,tape,hands,tape,climbers hands,1
3,reporters,tape,stories,tape,reporters stories,1
4,weightlifters,tape,thumbs,tape,weightlifters thumbs,1
5,wraps,tape,cuff,tape,wraps cuff,1
6,drinkers,tape,stack,tape,drinkers stack,1
7,friends,tape,conversation,tape,friends conversation,1
8,students,tape,ads,tape,students ads,1
9,cast,tape,eyelids,tape,cast eyelids,1
10,squadron,tape,doors,tape,squadron doors,1
