,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,male,tends,young,tend,male young,98
1,male,tends,young,tend,male young,98
2,male,tends,young,tend,male young,98
3,male,tends,young,tend,male young,98
4,male,tends,young,tend,male young,98
5,male,tends,young,tend,male young,98
6,male,tends,young,tend,male young,98
7,male,tends,young,tend,male young,98
8,male,tends,young,tend,male young,98
9,male,tends,young,tend,male young,98
10,male,tends,young,tend,male young,98
11,male,tends,young,tend,male young,98
12,male,tends,young,tend,male young,98
13,male,tends,young,tend,male young,98
14,male,tends,young,tend,male young,98
15,male,tends,young,tend,male young,98
16,male,tends,young,tend,male young,98
17,male,tends,young,tend,male young,98
18,male,tends,young,tend,male young,98
19,male,tends,young,tend,male young,98
20,male,tends,young,tend,male young,98
21,male,tends,young,tend,male young,98
22,male,tends,young,tend,male young,98
23,male,tends,young,tend,male young,98
24,male,tends,young,tend,male young,98
25,male,tends,young,tend,male young,98
26,male,tends,young,tend,male young,98
27,male,tends,young,tend,male young,98
28,male,tends,young,tend,male young,98
29,male,tends,young,tend,male young,98
30,male,tends,young,tend,male young,98
31,male,tends,young,tend,male young,98
32,male,tends,young,tend,male young,98
33,male,tends,young,tend,male young,98
34,male,tends,young,tend,male young,98
35,male,tends,young,tend,male young,98
36,male,tends,young,tend,male young,98
37,male,tends,young,tend,male young,98
38,male,tends,young,tend,male young,98
39,male,tends,young,tend,male young,98
40,male,tends,young,tend,male young,98
41,male,tends,young,tend,male young,98
42,male,tends,young,tend,male young,98
43,male,tends,young,tend,male young,98
44,male,tends,young,tend,male young,98
45,male,tends,young,tend,male young,98
46,male,tends,young,tend,male young,98
47,male,tends,young,tend,male young,98
48,male,tends,young,tend,male young,98
49,male,tends,young,tend,male young,98
50,male,tends,young,tend,male young,98
51,male,tends,young,tend,male young,98
52,male,tends,young,tend,male young,98
53,male,tends,young,tend,male young,98
54,male,tends,young,tend,male young,98
55,male,tends,young,tend,male young,98
56,male,tends,young,tend,male young,98
57,male,tends,young,tend,male young,98
58,male,tends,young,tend,male young,98
59,male,tends,young,tend,male young,98
60,male,tends,young,tend,male young,98
61,male,tends,young,tend,male young,98
62,male,tends,young,tend,male young,98
63,male,tends,young,tend,male young,98
64,male,tends,young,tend,male young,98
65,male,tends,young,tend,male young,98
66,male,tends,young,tend,male young,98
67,male,tends,young,tend,male young,98
68,male,tends,young,tend,male young,98
69,male,tends,young,tend,male young,98
70,male,tends,young,tend,male young,98
71,male,tends,young,tend,male young,98
72,male,tends,young,tend,male young,98
73,male,tends,young,tend,male young,98
74,male,tends,young,tend,male young,98
75,male,tends,young,tend,male young,98
76,male,tends,young,tend,male young,98
77,male,tends,young,tend,male young,98
78,male,tends,young,tend,male young,98
79,male,tends,young,tend,male young,98
80,male,tends,young,tend,male young,98
81,male,tends,young,tend,male young,98
82,male,tends,young,tend,male young,98
83,male,tends,young,tend,male young,98
84,male,tends,young,tend,male young,98
85,male,tends,young,tend,male young,98
86,male,tends,young,tend,male young,98
87,male,tends,young,tend,male young,98
88,male,tends,young,tend,male young,98
89,male,tends,young,tend,male young,98
90,male,tends,young,tend,male young,98
91,male,tends,young,tend,male young,98
92,male,tends,young,tend,male young,98
93,male,tends,young,tend,male young,98
94,male,tends,young,tend,male young,98
95,male,tends,young,tend,male young,98
96,male,tends,young,tend,male young,98
97,male,tends,young,tend,male young,98
98,proportion,tends,parallel,tend,proportion parallel,6
99,proportion,tends,parallel,tend,proportion parallel,6
100,proportion,tends,parallel,tend,proportion parallel,6
101,proportion,tends,parallel,tend,proportion parallel,6
102,proportion,tends,parallel,tend,proportion parallel,6
103,proportion,tends,parallel,tend,proportion parallel,6
104,parents,tend,young,tend,parents young,5
105,parents,tend,young,tend,parents young,5
106,parents,tend,young,tend,parents young,5
107,parents,tend,young,tend,parents young,5
108,parents,tend,young,tend,parents young,5
109,particles,tend,methane,tend,particles methane,3
110,particles,tend,methane,tend,particles methane,3
111,particles,tend,methane,tend,particles methane,3
112,mother,tended,garden,tend,mother garden,2
113,males,tend,eggs,tend,males eggs,2
114,father,tended,bar,tend,father bar,2
115,workers,tended,ovens,tend,workers ovens,2
116,former,tends,repertoire,tend,former repertoire,2
117,nuns,tended,flame,tend,nuns flame,2
118,standard,tends,tenses,tend,standard tenses,2
119,female,tends,nest,tend,female nest,2
120,pattern,tends,heel,tend,pattern heel,2
121,combination,tends,attorneys,tend,combination attorneys,2
122,activism,tends,detraction,tend,activism detraction,2
123,activism,tends,detraction,tend,activism detraction,2
124,father,tended,bar,tend,father bar,2
125,friends,tend,information,tend,friends information,2
126,friends,tend,information,tend,friends information,2
127,phrase,tends,pronunciation,tend,phrase pronunciation,2
128,women,tend,fields,tend,women fields,2
