,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,user,type,command,type,user command,5
1,user,typed,command,type,user command,5
2,user,types,command,type,user command,5
3,user,typed,command,type,user command,5
4,user,types,command,type,user command,5
5,operator,typed,text,type,operator text,3
6,report,type,locality,type,report locality,3
7,report,type,locality,type,report locality,3
8,operator,typed,text,type,operator text,3
9,report,type,locality,type,report locality,3
10,operator,typed,text,type,operator text,3
11,users,type,text,type,users text,2
12,user,typed,name,type,user name,2
13,user,typed,text,type,user text,2
14,user,typed,text,type,user text,2
15,user,types,one,type,user one,2
16,clinicians,type,abs,type,clinicians abs,2
17,clinicians,type,abs,type,clinicians abs,2
18,user,types,character,type,user character,2
19,players,typing,commands,type,players commands,2
20,fissure,type,pueblo,type,fissure pueblo,2
21,user,types,character,type,user character,2
22,user,types,one,type,user one,2
23,user,types,name,type,user name,2
24,users,type,keyword,type,users keyword,2
25,player,types,word,type,player word,2
26,users,type,keyword,type,users keyword,2
27,neoplasia,type,links,type,neoplasia links,2
28,neoplasia,type,links,type,neoplasia links,2
29,users,type,text,type,users text,2
30,players,type,commands,type,players commands,2
31,fissure,type,pueblo,type,fissure pueblo,2
32,player,types,word,type,player word,2
33,users,type,keywords,type,users keywords,2
34,users,typed,keywords,type,users keywords,2
35,mother,typed,manuscript,type,mother manuscript,1
36,wife,typed,copies,type,wife copies,1
37,properties,type,functions,type,properties functions,1
38,machine,typed,letter,type,machine letter,1
39,house,type,chest,type,house chest,1
40,enzyme,type,family,type,enzyme family,1
41,models,typing,braille,type,models braille,1
42,user,type,location,type,user location,1
43,person,type,clap,type,person clap,1
44,protein,type,subunits,type,protein subunits,1
45,gene,type,splicing,type,gene splicing,1
46,users,type,passages,type,users passages,1
47,thrombospondin,type,repeat,type,thrombospondin repeat,1
48,manuscript,typed,wife,type,manuscript wife,1
49,habitat,type,influence,type,habitat influence,1
50,user,types,pens,type,user pens,1
51,operator,typed,weapons,type,operator weapons,1
52,kana,typing,speed,type,kana speed,1
53,woman,typed,thousands,type,woman thousands,1
54,corpuscles,type,mechanoreceptors,type,corpuscles mechanoreceptors,1
55,blood,type,most,type,blood most,1
56,members,typed,information,type,members information,1
57,accumulation,type,diabetes,type,accumulation diabetes,1
58,player,typing,commands,type,player commands,1
59,neoplasia,type,form,type,neoplasia form,1
60,player,types,actions,type,player actions,1
61,secretaries,typed,versions,type,secretaries versions,1
62,increase,type,diabetes,type,increase diabetes,1
63,priest,typed,copy,type,priest copy,1
64,study,typed,region,type,study region,1
65,declaration,type,array,type,declaration array,1
66,data,type,char,type,data char,1
67,player,types,fuck,type,player fuck,1
68,cards,types,number,type,cards number,1
69,subquadrata,type,locality,type,subquadrata locality,1
70,gavinae,type,locality,type,gavinae locality,1
71,katherinae,type,locality,type,katherinae locality,1
72,cypridis,type,locality,type,cypridis locality,1
73,contusa,type,locality,type,contusa locality,1
74,patefacta,type,locality,type,patefacta locality,1
75,player,type,keys,type,player keys,1
76,point,type,inclusions,type,point inclusions,1
77,assumption,type,errors,type,assumption errors,1
78,kalasha,typed,finial,type,kalasha finial,1
79,performer,type,performance,type,performer performance,1
80,blood,typing,reagents,type,blood reagents,1
81,work,type,diabetes,type,work diabetes,1
82,wife,typed,works,type,wife works,1
83,father,type,writings,type,father writings,1
84,synthesis,type,hyperaldosteronism,type,synthesis hyperaldosteronism,1
85,game,typing,speed,type,game speed,1
86,players,type,object,type,players object,1
87,condition,type,patients,type,condition patients,1
88,synapses,type,asymmetric,type,synapses asymmetric,1
89,kaibabensis,type,locality,type,kaibabensis locality,1
90,user,types,pin,type,user pin,1
91,user,types,query,type,user query,1
92,wife,typed,notes,type,wife notes,1
93,response,typed,another,type,response another,1
94,subjects,typed,statements,type,subjects statements,1
95,person,types,phrase,type,person phrase,1
96,phenotype,type,response,type,phenotype response,1
97,scissors,type,pantograph,type,scissors pantograph,1
98,users,typed,information,type,users information,1
99,developer,types,code,type,developer code,1
100,transcript,typed,interpretation,type,transcript interpretation,1
101,interprets,type,stones,type,interprets stones,1
102,aggregates,type,capacity,type,aggregates capacity,1
103,skywriters,typed,word,type,skywriters word,1
104,soldiers,typed,diary,type,soldiers diary,1
105,subsidiary,type,infection,type,subsidiary infection,1
106,concepts,type,errors,type,concepts errors,1
107,user,types,beginning,type,user beginning,1
108,catalogue,typed,staff,type,catalogue staff,1
109,users,typed,name,type,users name,1
110,page,typed,manuscript,type,page manuscript,1
111,trio,typed,conversations,type,trio conversations,1
112,player,type,name,type,player name,1
113,user,typed,cookie,type,user cookie,1
114,request,typed,communication,type,request communication,1
115,widow,typed,manuscript,type,widow manuscript,1
116,one,typed,text,type,one text,1
117,players,type,keywords,type,players keywords,1
118,user,types,line,type,user line,1
119,employee,typed,phrase,type,employee phrase,1
120,portions,typed,user,type,portions user,1
121,question,type,answer,type,question answer,1
122,clue,type,name,type,clue name,1
123,secretaries,typed,text,type,secretaries text,1
124,form,type,gastritis,type,form gastritis,1
125,participant,typing,number,type,participant number,1
126,whichever,typed,script,type,whichever script,1
127,user,types,period,type,user period,1
128,operator,types,message,type,operator message,1
129,sockets,type,plugs,type,sockets plugs,1
130,user,type,document,type,user document,1
131,operator,typed,command,type,operator command,1
132,user,typed,commands,type,user commands,1
133,companion,typed,statement,type,companion statement,1
134,people,type,communication,type,people communication,1
135,aircraft,type,column,type,aircraft column,1
136,player,typing,concerns,type,player concerns,1
137,one,type,one,type,one one,1
138,wife,typed,manuscripts,type,wife manuscripts,1
139,industry,type,jacks,type,industry jacks,1
140,warfare,type,characteristics,type,warfare characteristics,1
141,player,types,phrases,type,player phrases,1
142,users,type,forms,type,users forms,1
143,types,type,cells,type,types cells,1
144,one,types,command,type,one command,1
145,monkey,types,letters,type,monkey letters,1
146,monkey,types,letter,type,monkey letter,1
147,users,typed,hyphen,type,users hyphen,1
148,user,typing,statements,type,user statements,1
149,user,typed,statement,type,user statement,1
150,people,typing,prompt,type,people prompt,1
151,typesetter,typed,line,type,typesetter line,1
152,deceivers,typed,letter,type,deceivers letter,1
153,people,type,glyph,type,people glyph,1
154,returns,typed,values,type,returns values,1
155,typist,typed,diacritic,type,typist diacritic,1
156,typist,typed,letter,type,typist letter,1
157,calculators,typing,yields,type,calculators yields,1
158,transmitter,type,jacks,type,transmitter jacks,1
159,affine,type,matrices,type,affine matrices,1
160,isoenzyme,type,males,type,isoenzyme males,1
161,user,types,word,type,user word,1
162,first,type,locomotives,type,first locomotives,1
163,scientist,type,cells,type,scientist cells,1
164,cost,typing,errors,type,cost errors,1
165,wife,typed,contents,type,wife contents,1
166,user,typed,stop,type,user stop,1
167,cows,type,letter,type,cows letter,1
168,bodies,type,cells,type,bodies cells,1
169,user,types,letters,type,user letters,1
170,players,typing,characters,type,players characters,1
171,projects,typed,transcripts,type,projects transcripts,1
172,mats,type,none,type,mats none,1
173,typewriter,typed,characters,type,typewriter characters,1
174,factors,type,all,type,factors all,1
175,operator,type,plaintext,type,operator plaintext,1
176,blood,type,person,type,blood person,1
177,user,types,header,type,user header,1
178,developer,types,letters,type,developer letters,1
179,supporters,typed,novel,type,supporters novel,1
180,agent,typed,manuscript,type,agent manuscript,1
181,broker,types,wishes,type,broker wishes,1
182,partner,typed,word,type,partner word,1
183,users,typed,letter,type,users letter,1
184,chimpanzee,types,message,type,chimpanzee message,1
185,sections,type,diabetes,type,sections diabetes,1
186,player,type,prefers,type,player prefers,1
187,levels,type,diabetes,type,levels diabetes,1
188,users,typed,address,type,users address,1
189,engine,type,payload,type,engine payload,1
190,client,types,words,type,client words,1
191,quadriceps,type,myopathy,type,quadriceps myopathy,1
192,brightness,type,star,type,brightness star,1
193,blood,typing,techniques,type,blood techniques,1
194,both,type,errors,type,both errors,1
195,user,type,tsuru,type,user tsuru,1
196,user,type,number,type,user number,1
197,user,type,icons,type,user icons,1
198,sender,typed,letters,type,sender letters,1
199,people,type,digraphs,type,people digraphs,1
200,aircraft,type,company,type,aircraft company,1
201,user,typed,phone,type,user phone,1
202,admin,typed,episode,type,admin episode,1
203,user,types,words,type,user words,1
204,users,type,response,type,users response,1
