,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,matches,umpired,record,umpire,matches record,12
1,matches,umpired,record,umpire,matches record,12
2,matches,umpired,record,umpire,matches record,12
3,matches,umpired,record,umpire,matches record,12
4,matches,umpired,record,umpire,matches record,12
5,matches,umpired,record,umpire,matches record,12
6,matches,umpired,record,umpire,matches record,12
7,matches,umpired,record,umpire,matches record,12
8,matches,umpired,record,umpire,matches record,12
9,matches,umpired,record,umpire,matches record,12
10,matches,umpired,record,umpire,matches record,12
11,matches,umpired,record,umpire,matches record,12
12,matches,umpired,pairing,umpire,matches pairing,5
13,matches,umpired,pairing,umpire,matches pairing,5
14,matches,umpired,pairing,umpire,matches pairing,5
15,matches,umpired,pairing,umpire,matches pairing,5
16,matches,umpired,pairing,umpire,matches pairing,5
17,debut,umpiring,match,umpire,debut match,1
18,field,umpiring,match,umpire,field match,1
19,chair,umpired,match,umpire,chair match,1
20,umpire,umpired,singles,umpire,umpire singles,1
21,uncle,umpired,matches,umpire,uncle matches,1
