,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,people,waited,hours,wait,people hours,7
1,people,waiting,hours,wait,people hours,7
2,people,waited,hours,wait,people hours,7
3,people,waited,hours,wait,people hours,7
4,people,waited,hours,wait,people hours,7
5,people,waited,hours,wait,people hours,7
6,people,waited,hours,wait,people hours,7
7,patients,wait,hours,wait,patients hours,5
8,patients,waited,hours,wait,patients hours,5
9,patients,waited,hours,wait,patients hours,5
10,patients,waiting,hours,wait,patients hours,5
11,patients,waited,hours,wait,patients hours,5
12,families,waited,years,wait,families years,3
13,riders,wait,street,wait,riders street,3
14,riders,wait,street,wait,riders street,3
15,families,waited,years,wait,families years,3
16,people,wait,turn,wait,people turn,3
17,families,waited,years,wait,families years,3
18,people,waiting,turn,wait,people turn,3
19,riders,wait,street,wait,riders street,3
20,people,waited,turn,wait,people turn,3
21,eyes,wait,meat,wait,eyes meat,2
22,hundreds,waited,hours,wait,hundreds hours,2
23,birds,wait,insects,wait,birds insects,2
24,family,waited,days,wait,family days,2
25,patients,waited,turn,wait,patients turn,2
26,patients,wait,turn,wait,patients turn,2
27,men,waited,time,wait,men time,2
28,glory,waits,thee,wait,glory thee,2
29,tigers,wait,prey,wait,tigers prey,2
30,passengers,waited,hours,wait,passengers hours,2
31,followers,wait,practice,wait,followers practice,2
32,rest,waited,turn,wait,rest turn,2
33,poet,waited,gift,wait,poet gift,2
34,family,waited,days,wait,family days,2
35,drivers,waited,hours,wait,drivers hours,2
36,drivers,waited,hours,wait,drivers hours,2
37,rest,wait,turn,wait,rest turn,2
38,hundreds,waited,hours,wait,hundreds hours,2
39,customers,waited,months,wait,customers months,2
40,natives,wait,look,wait,natives look,2
41,natives,wait,look,wait,natives look,2
42,floor,waiting,rooms,wait,floor rooms,2
43,player,wait,hands,wait,player hands,2
44,birds,wait,insects,wait,birds insects,2
45,customers,waiting,months,wait,customers months,2
46,passengers,waiting,hours,wait,passengers hours,2
47,followers,wait,practice,wait,followers practice,2
48,men,waited,time,wait,men time,2
49,program,wait,lines,wait,program lines,2
50,player,wait,hands,wait,player hands,2
51,poet,waited,gift,wait,poet gift,2
52,floor,waiting,rooms,wait,floor rooms,2
53,eyes,wait,meat,wait,eyes meat,2
54,tigers,wait,prey,wait,tigers prey,2
55,program,wait,lines,wait,program lines,2
56,commander,waited,initiative,wait,commander initiative,2
57,commander,waited,initiative,wait,commander initiative,2
58,glory,waits,thee,wait,glory thee,2
59,manager,waits,men,wait,manager men,1
60,squad,waited,shore,wait,squad shore,1
61,couple,waited,mother,wait,couple mother,1
62,elements,waited,war,wait,elements war,1
63,forces,waited,rest,wait,forces rest,1
64,force,waited,opportunities,wait,force opportunities,1
65,world,waited,advance,wait,world advance,1
66,one,waiting,foot,wait,one foot,1
67,club,waited,years,wait,club years,1
68,patients,waiting,rooms,wait,patients rooms,1
69,doctor,waited,hours,wait,doctor hours,1
70,minutes,wait,deaths,wait,minutes deaths,1
71,readkey,waits,time,wait,readkey time,1
72,verb,waited,subcategorizes,wait,verb subcategorizes,1
73,wife,waited,cooking,wait,wife cooking,1
74,people,waited,storm,wait,people storm,1
75,everyone,waits,minutes,wait,everyone minutes,1
76,librarian,wait,staff,wait,librarian staff,1
77,users,waiting,amount,wait,users amount,1
78,threats,wait,bit,wait,threats bit,1
79,copy,wait,one,wait,copy one,1
80,station,waited,hours,wait,station hours,1
81,warehouses,waiting,rooms,wait,warehouses rooms,1
82,militia,waiting,surge,wait,militia surge,1
83,defence,waited,lane,wait,defence lane,1
84,practitioner,waits,change,wait,practitioner change,1
85,patrons,waited,hours,wait,patrons hours,1
86,family,waits,news,wait,family news,1
87,successors,waited,attempt,wait,successors attempt,1
88,residents,waited,months,wait,residents months,1
89,women,wait,guns,wait,women guns,1
90,people,waited,path,wait,people path,1
91,larvae,wait,host,wait,larvae host,1
92,one,waited,turn,wait,one turn,1
93,ship,waited,orders,wait,ship orders,1
94,simple,wait,cash,wait,simple cash,1
95,males,wait,larvae,wait,males larvae,1
96,father,waited,night,wait,father night,1
97,family,waited,winter,wait,family winter,1
98,symptoms,wait,days,wait,symptoms days,1
99,man,waited,cell,wait,man cell,1
100,time,waited,land,wait,time land,1
101,residents,waited,hours,wait,residents hours,1
102,excitement,waits,days,wait,excitement days,1
103,player,wait,game,wait,player game,1
104,troops,waited,volley,wait,troops volley,1
105,motorcyclists,waited,years,wait,motorcyclists years,1
106,groups,wait,activity,wait,groups activity,1
107,trio,wait,way,wait,trio way,1
108,teams,waited,entry,wait,teams entry,1
109,bees,wait,season,wait,bees season,1
110,boys,waited,hours,wait,boys hours,1
111,players,waited,hours,wait,players hours,1
112,hesitating,waited,minutes,wait,hesitating minutes,1
113,fleet,waited,ships,wait,fleet ships,1
114,clerk,waited,supervisor,wait,clerk supervisor,1
115,doctor,waited,patients,wait,doctor patients,1
116,ambulance,waited,minutes,wait,ambulance minutes,1
117,numbers,waiting,seconds,wait,numbers seconds,1
118,opinion,wait,struggles,wait,opinion struggles,1
119,rooms,waiting,rooms,wait,rooms rooms,1
120,powder,waited,rags,wait,powder rags,1
121,subject,wait,delay,wait,subject delay,1
122,pause,wait,source,wait,pause source,1
123,artists,waiting,turn,wait,artists turn,1
124,prisoners,waited,average,wait,prisoners average,1
125,villains,wait,killers,wait,villains killers,1
126,two,waited,pregnancy,wait,two pregnancy,1
127,patrons,waited,ability,wait,patrons ability,1
128,victim,waited,days,wait,victim days,1
129,town,waited,century,wait,town century,1
130,reason,wait,minute,wait,reason minute,1
131,teen,waited,head,wait,teen head,1
132,heroine,waits,virtues,wait,heroine virtues,1
133,persons,waited,years,wait,persons years,1
134,successor,wait,philosophy,wait,successor philosophy,1
135,women,wait,average,wait,women average,1
136,families,waited,number,wait,families number,1
137,worker,waits,days,wait,worker days,1
138,father,waited,husband,wait,father husband,1
