,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,band,wrote,songs,write,band songs,143
1,band,writing,songs,write,band songs,143
2,band,wrote,songs,write,band songs,143
3,band,wrote,songs,write,band songs,143
4,band,wrote,songs,write,band songs,143
5,band,wrote,songs,write,band songs,143
6,band,writing,songs,write,band songs,143
7,band,wrote,songs,write,band songs,143
8,band,wrote,songs,write,band songs,143
9,band,writes,songs,write,band songs,143
10,band,wrote,songs,write,band songs,143
11,band,writes,songs,write,band songs,143
12,band,wrote,songs,write,band songs,143
13,band,wrote,songs,write,band songs,143
14,band,written,songs,write,band songs,143
15,band,wrote,songs,write,band songs,143
16,band,writes,songs,write,band songs,143
17,band,wrote,songs,write,band songs,143
18,band,wrote,songs,write,band songs,143
19,band,wrote,songs,write,band songs,143
20,band,wrote,songs,write,band songs,143
21,band,writes,songs,write,band songs,143
22,band,wrote,songs,write,band songs,143
23,band,writes,songs,write,band songs,143
24,band,wrote,songs,write,band songs,143
25,band,wrote,songs,write,band songs,143
26,band,write,songs,write,band songs,143
27,band,wrote,songs,write,band songs,143
28,band,wrote,songs,write,band songs,143
29,band,wrote,songs,write,band songs,143
30,band,wrote,songs,write,band songs,143
31,band,wrote,songs,write,band songs,143
32,band,wrote,songs,write,band songs,143
33,band,wrote,songs,write,band songs,143
34,band,wrote,songs,write,band songs,143
35,band,wrote,songs,write,band songs,143
36,band,wrote,songs,write,band songs,143
37,band,wrote,songs,write,band songs,143
38,band,wrote,songs,write,band songs,143
39,band,wrote,songs,write,band songs,143
40,band,wrote,songs,write,band songs,143
41,band,write,songs,write,band songs,143
42,band,wrote,songs,write,band songs,143
43,band,wrote,songs,write,band songs,143
44,band,wrote,songs,write,band songs,143
45,band,wrote,songs,write,band songs,143
46,band,wrote,songs,write,band songs,143
47,band,wrote,songs,write,band songs,143
48,band,writes,songs,write,band songs,143
49,band,wrote,songs,write,band songs,143
50,band,wrote,songs,write,band songs,143
51,band,wrote,songs,write,band songs,143
52,band,wrote,songs,write,band songs,143
53,band,wrote,songs,write,band songs,143
54,band,wrote,songs,write,band songs,143
55,band,writing,songs,write,band songs,143
56,band,wrote,songs,write,band songs,143
57,band,wrote,songs,write,band songs,143
58,band,wrote,songs,write,band songs,143
59,band,wrote,songs,write,band songs,143
60,band,wrote,songs,write,band songs,143
61,band,wrote,songs,write,band songs,143
62,band,wrote,songs,write,band songs,143
63,band,wrote,songs,write,band songs,143
64,band,wrote,songs,write,band songs,143
65,band,wrote,songs,write,band songs,143
66,band,wrote,songs,write,band songs,143
67,band,wrote,songs,write,band songs,143
68,band,wrote,songs,write,band songs,143
69,band,wrote,songs,write,band songs,143
70,band,wrote,songs,write,band songs,143
71,band,wrote,songs,write,band songs,143
72,band,wrote,songs,write,band songs,143
73,band,wrote,songs,write,band songs,143
74,band,wrote,songs,write,band songs,143
75,band,wrote,songs,write,band songs,143
76,band,wrote,songs,write,band songs,143
77,band,wrote,songs,write,band songs,143
78,band,wrote,songs,write,band songs,143
79,band,wrote,songs,write,band songs,143
80,band,wrote,songs,write,band songs,143
81,band,wrote,songs,write,band songs,143
82,band,wrote,songs,write,band songs,143
83,band,wrote,songs,write,band songs,143
84,band,wrote,songs,write,band songs,143
85,band,wrote,songs,write,band songs,143
86,band,wrote,songs,write,band songs,143
87,band,write,songs,write,band songs,143
88,band,wrote,songs,write,band songs,143
89,band,wrote,songs,write,band songs,143
